project_id,chain_id,chain_type,feeds_into_activity_id,activity_count,variance_sum_days2,original_buffer_days,buffer_sizing_method,sizing_quantile,sizing_z,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CC,PROJECT,,10,82.83358019,14.97163114,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,81b05eb165801c96d4358b1c636b312fda11b808d9e56af72d5818a13abcb558
PRJ-AIR,PRJ-AIR-FC1,FEEDING,PRJ-AIR-A08,1,3.79016003,3.20254083,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f5b5e1b0289a1aa22d14dde1c5e1e48ea85323bb3801c3c8809f70b49f3f5167
PRJ-AIR,PRJ-AIR-FC2,FEEDING,PRJ-AIR-A12,1,11.36701225,5.5461175,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c0a5e924b49501f2deea1a08096de90412fe0e58dbc6b4ad41a4ddb218804c81
PRJ-DCT,PRJ-DCT-CC,PROJECT,,10,47.30447403,11.3140218,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,829e21fda24cef9725ce7098a75b48948a4b735b676a4b3c000fc0963ddc7157
PRJ-DCT,PRJ-DCT-FC1,FEEDING,PRJ-DCT-A08,1,1.87005625,2.2495375,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8620bf5a44ed57744850de58745da8616587a0117f0b7e4a5d0f32a11110cd43
PRJ-DCT,PRJ-DCT-FC2,FEEDING,PRJ-DCT-A12,1,5.175625,3.742375,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,736752bcf545c8d157282c09d0338398755e048b290c342dd94b18aa6fea78ff
PRJ-HSP,PRJ-HSP-CC,PROJECT,,10,85.19172589,15.18324537,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,047f588501fbddea8fc40a7805243f7a7305667887c69a6d81d9d4bbf5c6a737
PRJ-HSP,PRJ-HSP-FC1,FEEDING,PRJ-HSP-A08,1,2.70164011,2.70383167,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5624cef38f8189ea9935aac038bc538c3c74b0674d4d9be41c6e8002001483ad
PRJ-HSP,PRJ-HSP-FC2,FEEDING,PRJ-HSP-A12,1,8.46519025,4.7861275,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8116edaf2cbf772831e581c58eeec4637e7b37f5207496dfa5fb89123b7343a3
PRJ-HWY,PRJ-HWY-CC,PROJECT,,10,54.86160975,12.18428855,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f92aa165da85e29e7797b53b0eb47f6da4d27b8e4cc31c04615f915265ab2085
