project_id,period_id,project_buffer_consumed_days,project_buffer_consumption_ratio,buffer_to_progress_ratio,buffer_exhausted,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,6.7837961,0.45311002,1.91673014,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,34fb14fc677251a1cdcc1e409aa0d74a721ff71989c345ddc57bf5f6d15809a5
PRJ-AIR,P02,8.20076704,0.54775375,1.39302115,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d0778af1d2e2d6c5ef04ff5d77f02cf1f13bf18faf9548d3b17cdaecb2980e85
PRJ-AIR,P03,8.11044703,0.541721,1.09409433,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,078c78bd2105cdf2000ed2ddacee76b1d42ccce7df0f4e24ce436bfa67eec995
PRJ-AIR,P04,9.9312808,0.66333993,1.14832799,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a05b49d114bcd5b605b588ffcbbc7fda053c6cc15b54f46d66482944061d5ec4
PRJ-AIR,P05,10.76549262,0.71905943,1.02360391,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e8391bb8f9f01a62599b48e9c9f8445a8ee6b4418960f2b2a09ebe57c9e0f546
PRJ-AIR,P06,13.1150691,0.87599467,1.07400487,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8982e15cdc667746f46181415150c9893a1a9ecdd6c675926a22dbf89ae9c87c
PRJ-DCT,P01,1.59639553,0.14109886,0.62,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2fda5f61adb9bddf1f8544427ff5d79791a6041cf1eba41fe865d6f18ca912aa
PRJ-DCT,P02,3.07221083,0.27154012,0.67537516,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,31a0c34e498e2e71fbc1a947e57dd53a7764c8b3ce224673c44fcfc48f795582
PRJ-DCT,P03,3.83039539,0.33855294,0.66955836,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,25af98414f096386d8159e1d24a26810fbd19903184348600926da3d6f658cc9
PRJ-DCT,P04,5.01108111,0.44290891,0.73299194,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,56d200a3e30104e4a68fa515e07beda09a022a2a09fabda8a57165c47be8fece
PRJ-DCT,P05,5.89181546,0.52075341,0.71366077,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b605a895e37adedd2ca8074315a92cefa9d56258d5c17d81c81198b34d2a1027
PRJ-DCT,P06,6.72265343,0.59418777,0.66622861,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,12ada26e2dc3108bfdd376131c132c8e4c2d3b860118e9d724bfb4fcf2b6ae8d
PRJ-HSP,P01,7.29901051,0.48072796,2.10535885,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b84ae47be3f85a7a4c09c6703ca0ae1bc788107d90756a43bfe17c6e3b352e01
PRJ-HSP,P02,8.98329064,0.59165814,1.58580967,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,563d98eceda497478602ac9c77bfa9956a65a7915d297d77d53a2a45b9a1526d
PRJ-HSP,P03,9.64860436,0.63547708,1.36795325,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3c8e50fecae8be4bfd00ae8ea703f9a34c13f8588de405ebaaa5d46f8b57e186
PRJ-HSP,P04,10.25976315,0.67572926,1.22623381,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,67b4e161fa3be18acac431dc068dbe1b4506f59d3ba8489bcb13a6532d802183
