project_id,claim_id,notice_id,claim_type,claim_value_usd,submitted_day,current_stage,unresolved_age_days,adjudication_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,PRJ-AIR-CLM-01-N,DIFFERING_SITE,1482250.0,87,NOTICE,264,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9e1ce37cba51b88355ed9180cd4f21e825523caaf86a9eaaca4d57a92f887e4a
PRJ-AIR,PRJ-AIR-CLM-02,PRJ-AIR-CLM-02-N,DELAY,2117500.0,122,CLAIM_SUBMITTED,229,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,42598c5b245e8e317c2ade92245f2dd2312ff1b62844a073712b4a40d7336e07
PRJ-AIR,PRJ-AIR-CLM-03,PRJ-AIR-CLM-03-N,PAYMENT,2752750.0,157,NEGOTIATION,194,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3bb0efae22189a6c354b717dbd97fd49455f40c0fcd903f3d387e46feb590cb7
PRJ-AIR,PRJ-AIR-CLM-04,PRJ-AIR-CLM-04-N,DESIGN_CHANGE,3388000.0,193,MEDIATION,158,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d349185023b5ec714cc6c4537fc3334087b8e2dfc9ec5778b05992ab9440b7ee
PRJ-AIR,PRJ-AIR-CLM-05,PRJ-AIR-CLM-05-N,DIFFERING_SITE,4023250.0,228,ADJUDICATION,123,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0a9396bcdad841f8aee5001c742081cadc1f0e5178d552ddde022be9f2e3aa09
PRJ-AIR,PRJ-AIR-CLM-06,PRJ-AIR-CLM-06-N,DELAY,4658500.0,263,ADJUDICATION,88,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,380ff72a1a784e8aa56deeffa3cf7b08f57fa53e59af3f267e64ab09662dd3be
PRJ-HWY,PRJ-HWY-CLM-01,PRJ-HWY-CLM-01-N,DIFFERING_SITE,764400.0,76,NOTICE,231,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,abd4b6e8d3530dc789dc8c4536e95e6dd8eabe1be7e94e03cf822ae30609baac
PRJ-HWY,PRJ-HWY-CLM-02,PRJ-HWY-CLM-02-N,DELAY,1092000.0,107,NOTICE,200,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2cc1fe0f38a608cac56961c2429e81c7c0b06e32636cf016ccc3bc8150c0373b
PRJ-HWY,PRJ-HWY-CLM-03,PRJ-HWY-CLM-03-N,PAYMENT,1419600.0,138,CLAIM_SUBMITTED,169,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ccfd4a08ede1a067d0e53f9ce4f2fd1e7335688954e465143478f0107292241a
PRJ-HWY,PRJ-HWY-CLM-04,PRJ-HWY-CLM-04-N,DESIGN_CHANGE,1747200.0,168,NEGOTIATION,139,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7352c891643cb503831f84ea3c912b4635ef610183c8b91673b181f0109935c5
PRJ-HWY,PRJ-HWY-CLM-05,PRJ-HWY-CLM-05-N,DIFFERING_SITE,2074800.0,199,MEDIATION,108,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,21e2604beb3603271d18bb673fe2038a22e91252d7efa1612ebc063d8e8361af
PRJ-HWY,PRJ-HWY-CLM-06,PRJ-HWY-CLM-06-N,DELAY,2402400.0,230,ADJUDICATION,77,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,76480e5836111c7bfaf718eeb62bc2914f45cf09639dc6fd0f5a0da763212f54
PRJ-HSP,PRJ-HSP-CLM-01,PRJ-HSP-CLM-01-N,DIFFERING_SITE,1819300.0,85,NOTICE,258,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c5e27bb38780c27fe1fd24d5559965c21e85be1995be9d2999fb6cd62ca2b68c
PRJ-HSP,PRJ-HSP-CLM-02,PRJ-HSP-CLM-02-N,DELAY,2599000.0,120,CLAIM_SUBMITTED,223,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3757628cecbd44399a6fa0a9ef0fc601e8abbee520f62cd3b25681ebd757d41c
PRJ-HSP,PRJ-HSP-CLM-03,PRJ-HSP-CLM-03-N,PAYMENT,3378700.0,154,NEGOTIATION,189,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2140f45e17b40920f720981a6eb0354b7e1f1185298a12b37fcb449d42ca298c
PRJ-HSP,PRJ-HSP-CLM-04,PRJ-HSP-CLM-04-N,DESIGN_CHANGE,4158400.0,188,MEDIATION,155,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0f2301ff650cc78828a294e93e06726e0f560a0205e33ca783fb60a1a79f4488
PRJ-HSP,PRJ-HSP-CLM-05,PRJ-HSP-CLM-05-N,DIFFERING_SITE,4938100.0,222,ADJUDICATION,121,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,abf5b2ae5851858cefacd66e9435036e15069ba1f94c6cb13764b96b3386809a
PRJ-HSP,PRJ-HSP-CLM-06,PRJ-HSP-CLM-06-N,DELAY,5717800.0,257,ADJUDICATION,86,PENDING_DECISION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,957445c277c99faf269d7bfdcd66002542d432034e9339ae3a24a3537a34e64a
PRJ-WTR,PRJ-WTR-CLM-01,PRJ-WTR-CLM-01-N,DIFFERING_SITE,612500.0,65,NOTICE,195,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c1e943fc345cf6d90dcefb95d61f41f3d6b40f7278ec7df8a179e8d3051cf199
