project_id,cost_element_id,cost_element_name,low_cost_usd,most_likely_cost_usd,high_cost_usd,correlation_group,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CE-01,DESIGN,88020341.05,92872952.84,101695883.36,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,35b1e5f31d315bf67feb4f86df8499e0f8c6d3ffb8f04f2a075a01e45d598858
PRJ-AIR,PRJ-AIR-CE-02,GENERAL_CONDITIONS,35063644.27,37431165.49,41735749.52,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5d3b3c450ddd454269607ac2e47ea382d9270cdb27bfcffff6851beab84d7872
PRJ-AIR,PRJ-AIR-CE-03,CIVIL,27396036.7,29593342.37,33588443.59,CG-1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,255fc0011694254e1bfe65c100999266cbc0025521d4898b5ba68d594b18be8c
PRJ-AIR,PRJ-AIR-CE-04,STRUCTURE,24782700.19,27092320.51,31291630.19,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a3d29fc790802dfa426db731e58c3bafeff86611d025659128c8b22567656d03
PRJ-AIR,PRJ-AIR-CE-05,ENVELOPE,32109834.64,33880068.21,37098674.69,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,91a8cd0290da2760cc1c6bb117647ea3e8579f8a07fcfe1da30490faa981a398
PRJ-AIR,PRJ-AIR-CE-06,MEP,24213099.99,25847985.04,28820503.32,CG-2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ae64672d21ed5828866c27c91d9b036a1be90042508f5ade571a7ec1369fef61
PRJ-AIR,PRJ-AIR-CE-07,SYSTEMS,74316099.93,80276640.49,91113986.95,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,59c730ee45f8d35ce4903963fd122435669f91d4888c7838c278757a656cfcf6
PRJ-AIR,PRJ-AIR-CE-08,PROCUREMENT,6679906.16,7302439.09,8434317.15,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9cce6c4b95e670c52120c36a11b58dbc24f747f8843eec5dca567f5141e43970
PRJ-AIR,PRJ-AIR-CE-09,COMMISSIONING,20769377.05,21914404.7,23996273.15,CG-3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,360b503f3f00de322e6c2fb31911681924b86306bfd34f0eaaee811c1d582b08
PRJ-AIR,PRJ-AIR-CE-10,CONTINGENCY,26967797.18,28788681.27,32099379.61,CG-4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,45c2dd0a47b5d623de01c60d2b63ff744b1fef85cc6336c88785de8e416f8f71
