project_id,risk_event_id,risk_name,probability,low_impact_usd,most_likely_impact_usd,high_impact_usd,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CR-01,DESIGN_GROWTH,0.205,385000.0,770000.0,1540000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6a51d5ed0a169f88a2eb14194e13ad89826abf2d181df8d1cec82021cdaaf94a
PRJ-AIR,PRJ-AIR-CR-02,MARKET_ESCALATION,0.265,770000.0,1540000.0,3080000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b2f5fc403900a26a001faac8e18a8d4aa261c43d1277588311ae93d1900df8c9
PRJ-AIR,PRJ-AIR-CR-03,PRODUCTIVITY,0.325,1155000.0,2310000.0,4620000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,17548dc09177585ccf7916d5a57d58c2ac5ab51de8eb6c3245eef958a47bf8ca
PRJ-AIR,PRJ-AIR-CR-04,PROCUREMENT,0.145,1540000.0,3080000.0,6160000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f57c5839eb7294ccc06a44efc57fa996c90e8db9f33ba78e7e4d0df438aced0f
PRJ-AIR,PRJ-AIR-CR-05,WEATHER,0.205,1925000.0,3850000.0,7700000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,052dad2cdaa67f5bdf7ab67a3b8d4a7dfdc4f5ec88d46487ed854519391f7c3b
PRJ-AIR,PRJ-AIR-CR-06,COMMISSIONING,0.265,2310000.0,4620000.0,9240000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4b7332f1df76c58b8ea6b8d2589535589077b8cc3ff4cb52b3cc01add58f3163
PRJ-HWY,PRJ-HWY-CR-01,DESIGN_GROWTH,0.19,210000.0,420000.0,840000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c03c71604b4e9f57316a912663f8bb9f9b9b9ce599cacd7528d086fb6328f25a
PRJ-HWY,PRJ-HWY-CR-02,MARKET_ESCALATION,0.25,420000.0,840000.0,1680000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2e5c97ec3c50b2cbc10e2de2fb726745a12245f427460cf5f021e762b9a7e7af
PRJ-HWY,PRJ-HWY-CR-03,PRODUCTIVITY,0.31,630000.0,1260000.0,2520000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a10b5b60b04674061059cf202530be28563a0325f31adb7e4955eec07e3edad2
PRJ-HWY,PRJ-HWY-CR-04,PROCUREMENT,0.13,840000.0,1680000.0,3360000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,17678a11fc2a06a83c8aa7e1a3a5e0a25fcf95b6e6960151d7aa4715c7e7767b
PRJ-HWY,PRJ-HWY-CR-05,WEATHER,0.19,1050000.0,2100000.0,4200000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8a5480481f3528ab61bfde59b01931ccde0b525f765002c8f6326d2e2aaf90ad
PRJ-HWY,PRJ-HWY-CR-06,COMMISSIONING,0.25,1260000.0,2520000.0,5040000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,56167c979a481a7a5891934a700f29c78e1af239800018443830d836322e5f9b
PRJ-HSP,PRJ-HSP-CR-01,DESIGN_GROWTH,0.2125,460000.0,920000.0,1840000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,32e0c2ee320c4c16bd20b70e9237bdf07f602925db111d6a6a47c8c4b79d818e
PRJ-HSP,PRJ-HSP-CR-02,MARKET_ESCALATION,0.2725,920000.0,1840000.0,3680000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6ff8602c43b9e848a221ace2d0c78572b4196928fd48f5c0f72bce7a0831aa9e
PRJ-HSP,PRJ-HSP-CR-03,PRODUCTIVITY,0.3325,1380000.0,2760000.0,5520000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,122bfab15890e2b2a551de1fe825573fdd48690532dd8a0cb103bc8bf97bf4e0
PRJ-HSP,PRJ-HSP-CR-04,PROCUREMENT,0.1525,1840000.0,3680000.0,7360000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a234eb924bfca84e1634bec1d1977655a4e81756e83290ee791ca483dcc89926
PRJ-HSP,PRJ-HSP-CR-05,WEATHER,0.2125,2300000.0,4600000.0,9200000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,908fe10ba250cd63a3fca1d3cd75128a663cea4cc4ce30fa4d8e70b484475a84
PRJ-HSP,PRJ-HSP-CR-06,COMMISSIONING,0.2725,2760000.0,5520000.0,11040000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9dfdb1fa7219226a3e620490915279c509d50475157a8dae147898af49b1ed2e
PRJ-WTR,PRJ-WTR-CR-01,DESIGN_GROWTH,0.18,175000.0,350000.0,700000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,22081f8562de74bc0d791534db0562df7cb86ec36e1e2890a897a0da06cc8857
PRJ-WTR,PRJ-WTR-CR-02,MARKET_ESCALATION,0.24,350000.0,700000.0,1400000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cea1be9dcfc2ff34d4de606af40ceeaca1cada5c183fa6f479c158eb5485924e
PRJ-WTR,PRJ-WTR-CR-03,PRODUCTIVITY,0.3,525000.0,1050000.0,2100000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7c33b6a840510aa2d2ed5c1284346fd942af58d8dbdc4aee2b3fdd51b665324f
PRJ-WTR,PRJ-WTR-CR-04,PROCUREMENT,0.12,700000.0,1400000.0,2800000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6161791b8f34babc02f2df5312abcecb3fe7d6d0cd326e736d7e7ebfe78cc417
PRJ-WTR,PRJ-WTR-CR-05,WEATHER,0.18,875000.0,1750000.0,3500000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,080b43e13c4cffc226086bfa2c966061233e350b636fd2f19a3a5a4c9461669c
PRJ-WTR,PRJ-WTR-CR-06,COMMISSIONING,0.24,1050000.0,2100000.0,4200000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,76b1c142c32f8b9266593adb558e0c3f1227e8b0f062ba27c2d6cf26d00512ff
