project_id,entity_id,event_id,event_type,queue_id,resource_id,event_arrival_day,event_start_day,event_end_day,wait_days,service_duration_days,routing_rule,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-1,6.074264,6.074264,8.991355,0.0,2.91709,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,042758fd87eb191ef9d5653f75d628360a38a5bcd830ee6488f2633c92ffa591
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-1,8.991355,8.991355,26.3211,0.0,17.329746,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec9d7b2a8c4b8a2b77511f7ee398ca5ecf5ef3e6262ec6a9f3947ad9eb25c667
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-SHIPPING,SHIPPING,Q-SHIPPING,SHIPPING-SERVER-1,26.3211,26.3211,32.520009,0.0,6.198908,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b15d781076d3a5646779850cbac436425211e6ae7d08aabcdf04997e054d01ea
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-DELIVERY,DELIVERY,Q-DELIVERY,DELIVERY-SERVER-1,32.520009,32.520009,33.788172,0.0,1.268164,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ddced29b2cff29115bf0618d9d2d887ddea90d97663df91401b2bdd28c397d64
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-2,5.012644,5.012644,7.93388,0.0,2.921235,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d070daddb1e74e7904ad780ac9b39e1ef674ce3f6533ab9697c5f975f9d3da7e
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-2,7.93388,7.93388,20.481802,0.0,12.547922,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bf159d4593ad8223462385ae31809f57c915ff0b4634b6bbc3f5004186a8c8af
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-SHIPPING,SHIPPING,Q-SHIPPING,SHIPPING-SERVER-2,20.481802,20.481802,27.495441,0.0,7.013639,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,90204038e3358e749e36b6840931920446f5e2eea16870865d2e28ec8a144cea
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-DELIVERY,DELIVERY,Q-DELIVERY,DELIVERY-SERVER-2,27.495441,27.495441,28.966475,0.0,1.471034,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b3b60a7407d37f7306818b108dc1e592800780ec381f14ef4c983756ae76be83
PRJ-AIR,PRJ-AIR-ITEM-003,PRJ-AIR-ITEM-003-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-2,9.336677,9.336677,11.208593,0.0,1.871915,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f9a347d2ec16a568e04d1728104cbe3498841d33bdd3e763e1437de9025bfd9b
PRJ-AIR,PRJ-AIR-ITEM-003,PRJ-AIR-ITEM-003-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-3,11.208593,11.208593,24.254837,0.0,13.046245,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,db3f2aecd5c831a3224baa0c400ae48734ee9ac69c32209f81aa16d3210e9cff
PRJ-AIR,PRJ-AIR-ITEM-003,PRJ-AIR-ITEM-003-SHIPPING,SHIPPING,Q-SHIPPING,SHIPPING-SERVER-2,24.254837,27.495441,31.289955,3.240603,3.794514,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,37a6cfebcbf5f0d0e42f319f49d21eb08cdb18dbd13eab9143c0d32436c0d2fd
