project_id,source_node_id,target_node_id,dependency_type,dependency_strength,propagation_delay_periods,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-DSM-01,PRJ-AIR-DSM-02,REWORK_PROPAGATION,0.249591,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6c2f02961654220a750e5081ab3a2838dcff2e061e389bc9ede916b487ac706b
PRJ-AIR,PRJ-AIR-DSM-01,PRJ-AIR-DSM-03,REWORK_PROPAGATION,0.220422,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4639c082c647383c31070f0367df951c67f3d3810fd1f63d833f4ecd67ef7f57
PRJ-AIR,PRJ-AIR-DSM-02,PRJ-AIR-DSM-05,REWORK_PROPAGATION,0.296438,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,40b1b32cdff5d57f0720099658d5a50be05b763fa7da87899b5b8d39b0c897bd
PRJ-AIR,PRJ-AIR-DSM-03,PRJ-AIR-DSM-04,REWORK_PROPAGATION,0.275722,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,425cf0066d99210e059a7fbba6f69d592c54a7dbd4f27746c7af689de01c3831
PRJ-AIR,PRJ-AIR-DSM-04,PRJ-AIR-DSM-05,REWORK_PROPAGATION,0.236418,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0f56aac989dc712a8e674f5927e7d7e6f388658c8b3d64c366ba9ac4d762b359
PRJ-AIR,PRJ-AIR-DSM-05,PRJ-AIR-DSM-06,REWORK_PROPAGATION,0.371304,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dc04f2606ca3ae36d9c121925105c2962c3541f1eeaa40010eb49863270a65c6
PRJ-AIR,PRJ-AIR-DSM-06,PRJ-AIR-DSM-07,REWORK_PROPAGATION,0.373294,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,119e3f43b4ab8dacbf7946fc0002d064741cee729033d25ba1828af391faacbb
PRJ-AIR,PRJ-AIR-DSM-07,PRJ-AIR-DSM-08,REWORK_PROPAGATION,0.298985,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f213e654b72542e7a29d62c381ec0edecb9e22485f69c7cb89fce0ac0e8c4359
PRJ-AIR,PRJ-AIR-DSM-05,PRJ-AIR-DSM-03,REWORK_PROPAGATION,0.066539,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e21b15013f4c92edebd78ee8072684af80c8c3c6de74b91637da1b870f33532b
PRJ-HWY,PRJ-HWY-DSM-01,PRJ-HWY-DSM-02,REWORK_PROPAGATION,0.28855,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ca80181da812d41e3daaf71f0482dfe608d7103b44f1dc5d59f529052690c6d7
