project_id,node_id,node_name,node_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f8a6862239b4fbb4787be33b411d67e5537e8078c6d033e76ff0bd35071ebac1
PRJ-AIR,PRJ-AIR-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f03a70f3b268b451709e90ce90547819cbf70c80d8b1cc0fd6f8cfd93794e9d9
PRJ-AIR,PRJ-AIR-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1608563b3ff4e7aa39df4ab26b72d692916bef89bfac8c9ad404f60815e8f9a7
PRJ-AIR,PRJ-AIR-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a53fb997925e933cb7a5d53a966bac23823d49d285436628447e48a28a553c80
PRJ-AIR,PRJ-AIR-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d9a1f5588c35aa6dc5712fc37815975e571ae4ad716e5a390853ded90ac5e8df
PRJ-AIR,PRJ-AIR-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,05309419a87f2ca3e1348d491939d647bc3926745425530dbc003022b1a53a41
PRJ-AIR,PRJ-AIR-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1fc6ea347573fc2a8547e1caf18e4956f78d3fb1b380b31de9c19dae22a0afe8
PRJ-AIR,PRJ-AIR-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,29d3e302da4ee79b7db8dc41e17a3e64dfbb72b5ca44ec9275ef97120e4d5db3
PRJ-HWY,PRJ-HWY-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f1c1fb59cf907d28aa269a1c9ec8045873c3dae9556f40b919945820448ccc34
PRJ-HWY,PRJ-HWY-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b35020c743a96511a96ba833d3c922ab91333d79d4bd3997df776769de22dbd0
PRJ-HWY,PRJ-HWY-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9cda5550eb1fff78cb95ab3966de727595ee729cab8f99a8c7870797e273cad7
PRJ-HWY,PRJ-HWY-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9ca769e4c8821ee72ac868d812b50b54bb013ec2672bdef8aad8536fd1e76c42
PRJ-HWY,PRJ-HWY-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7eec0e74cef4be5d126ceab4ecc6a42532e452b762a9ec7b23b5294de20975bc
