project_id,requirement_id,requirement_code,requirement_name,permit_or_rule_source,jurisdiction,severity_if_breached,applicable,effective_date,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,HIGH,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0cb8e9d07fa8d2594b4e6b283961d4686f24b52f7d37eca490b060e0852b1701
PRJ-AIR,PRJ-AIR-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,HIGH,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ddb34d1a94c9f2f5d9381dcadba76404874f25ed515537d31af1dbc3af61b613
PRJ-AIR,PRJ-AIR-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,MEDIUM,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3bc14660b7e6c22d3664950234cae7d6f20a5b3a79612542bf16598deb0ad3a5
PRJ-AIR,PRJ-AIR-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,MEDIUM,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f32785eda8c955a09bc0defdafc1a308c3851dad10b413327d1fb51fa1ceb87e
PRJ-AIR,PRJ-AIR-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,LOW,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1af8fc14da964228f8756a3fb3f8721e89c00afb4a24b7956ba1a13514d3aa01
PRJ-AIR,PRJ-AIR-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,CRITICAL,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,16a7d5b992fc13e2bac56cb1b4d77d5aa24d8dac2c13b214a8d6c1b176cab9b9
PRJ-AIR,PRJ-AIR-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,HIGH,False,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b686b2b2028a32ea3bec6c8f51d2e4623877d29dedde0726a354343a55f2ff73
PRJ-AIR,PRJ-AIR-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,CRITICAL,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e81885b5eab660392f0b984fa44ce4adefd278aa563d71c115f7e61058813cea
PRJ-DCT,PRJ-DCT-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,HIGH,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,05d48f4e9e5fdd89eb2d97e8390f2e7186a8ee17e5ef00320bb0db4990707864
PRJ-DCT,PRJ-DCT-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,HIGH,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6b28dd634b38cda3c9d768765a921cee561119312be099ef2658e43dd23621ce
PRJ-DCT,PRJ-DCT-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,MEDIUM,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cb23ed9a9f7940b9361db1207d2922739a69f96ceb839c7982797e53df54a6b7
PRJ-DCT,PRJ-DCT-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,MEDIUM,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ee1eaa4c688f68c359d42542980a42b50dbac113efc50f65711a71e7ddf022f4
PRJ-DCT,PRJ-DCT-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,LOW,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cf5a3f5ffc2b686db261d86fceae1a4f94f90d91ef9d43c4f4387838c273ae1d
PRJ-DCT,PRJ-DCT-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,CRITICAL,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6a2d4e58a8f7bb8434e53fc17ca5eb9ce98e1cf378f1f13f6affb9db9f4663c2
PRJ-DCT,PRJ-DCT-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,HIGH,False,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,61248a820e94a39354f8a8aa6d4335cd0aada21c2f8b06d2e2222460ca3197af
PRJ-DCT,PRJ-DCT-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,CRITICAL,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3fb7aa509e79a2816941b49dbcb61895052ad8624e1383dab59171d0b995e554
PRJ-HSP,PRJ-HSP-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,HIGH,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,77145a7b46f2cbbc7cc580bcb132041171a33d70b06e66b335c37531308cfb27
PRJ-HSP,PRJ-HSP-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,HIGH,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8699dc5008a44f85b3e15960668905459207eb22f18353bdb33c2924e2a80f5b
PRJ-HSP,PRJ-HSP-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-HSP,SYNTHETIC-US,MEDIUM,True,2026-02-12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5e81107e461d73e068bd24cc43def283ac825dc1ca109ec864bb2653dc36ba71
