project_id,period_id,location_id,location_sequence,work_type_id,crew_id,quantity,unit,planned_production_rate_locations_per_day,actual_production_rate_locations_per_day,planned_start_day,actual_start_day,minimum_separation_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,P01,L01,1,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,0.0,0.08,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8852e258ad4f04e9ed2f900646bfe6544f6bec591d0f73650c623c27e813238e
PRJ-HWY,P01,L02,2,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,4.545455,4.389841,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d4424afc86592d9e653e3b57a287b977143d083b820b32d47c6834878b14893b
PRJ-HWY,P01,L03,3,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,9.090909,8.699683,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3900b3f5a38ac2701a989f7c76d70d3eb8e5d7e2e9da0dc1ba648bfdab54db90
PRJ-HWY,P01,L04,4,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,13.636364,13.009524,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9e548d3abc197470e5bfb7d84ed6cc3f53cad3cc7775295a229eac71c33acba7
PRJ-HWY,P01,L05,5,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,18.181818,17.319365,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,77b335a8d629baedf574f0ccfaf52f6a3ae6a20fa429931bdc8475fd13a4431a
PRJ-HWY,P01,L06,6,EARLY_WORK,PRJ-HWY-EARLY_WORK-CREW,1,location,0.22,0.232027,22.727273,21.629206,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3af2899317a13521d20e1ea1a2b3abeb44010b15f678325cbd8320537683b7b0
PRJ-HWY,P01,L01,1,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,18.0,18.08,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,aa375b7d97f4c939346dde1636c7f8cc8438fc987e954d053d8ccd7d97f30fd9
PRJ-HWY,P01,L02,2,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,23.555556,24.03901,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4859c7a09dc09246e62de0059ec3e83f9104c434f7b628c846684d1ab3411efe
PRJ-HWY,P01,L03,3,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,29.111111,29.998021,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0e04ad3ca766aab4e1bd54199f52b4bb6a85e53bbe85fbc861cd05de892b2c04
PRJ-HWY,P01,L04,4,STRUCTURE,PRJ-HWY-STRUCTURE-CREW,1,location,0.18,0.167813,34.666667,35.957031,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,be626e7c45767956afbc6d94265d92bffa65a499999ff04202cd6ebda17c0ad5
