project_id,period_id,ncr_issued_to_date,ncr_closed_to_date,ncr_open_at_cutoff,ncr_overdue_at_cutoff,cumulative_inspections,ncr_incidence_per_100_inspections,closure_ratio,open_ratio,overdue_open_ratio,mean_open_age_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9f2ae852cb60797f474c590519b228ddd38687b58b82d11a6baf660d71c19a18
PRJ-AIR,P02,1,1,0,0,53,1.88679245,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,58e874da11f83a8a4a31be098cc765da4c56c932afbed995e831a77e2506723f
PRJ-AIR,P03,2,2,0,0,80,2.5,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9b9c2a324fc31a4ec59448f9cd05178702beef72b057fc176cebbecc4be4639b
PRJ-AIR,P04,2,2,0,0,110,1.81818182,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5d09b8d692466d3dce7d3076cd436a7f98c572038e113ff7af82b649a543e5a3
PRJ-AIR,P05,3,2,1,0,143,2.0979021,0.66666667,0.33333333,0.0,14.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9180e2283a0130b63c0272a1cbe177b42604e086d9c5edbaeeee6b31005feaec
PRJ-AIR,P06,6,4,2,1,180,3.33333333,0.66666667,0.33333333,0.5,44.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,18056275cbf836c9d988c0d436e278638b835d0f4f25a9d5be91f331c7109738
PRJ-DCT,P01,1,0,1,0,23,4.34782609,0.0,1.0,0.0,13.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,709c41ff7d46188c209b223badc935160579cf952e05956970a7179ba60b771c
PRJ-DCT,P02,1,1,0,0,48,2.08333333,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,300af09e55e7e8c0c7b66e210eb38cc461e695e3f21e7ec8da18cad0cc8891f2
PRJ-DCT,P03,3,3,0,0,76,3.94736842,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fd20e60ce18c783578e13a9663cb99f8e241eec2818cda547e647258abe3a7c2
PRJ-DCT,P04,8,4,4,0,107,7.47663551,0.5,0.5,0.0,7.75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ac02027e8d0af294555368ca1e3e4f4d78efb197009f1dc824e7eaa587e4539
