project_id,period_id,status_day,baseline_finish_day,current_forecast_finish_day,required_finish_day,schedule_margin_days,p50_finish_day,p80_finish_day,p80_overrun_days,probability_finish_by_required_date,critical_path_activity_ids,schedule_compression_index,monte_carlo_iterations,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,50,319,344.49699,351,6.50301,346.889606,355.374796,4.374796,0.6564,PRJ-AIR-A01|PRJ-AIR-A02|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.909176,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d9a3acb22fe20b0f46f8759e72424af6cded02d7ae9b070fcef15611384f8960
PRJ-AIR,P02,100,319,344.282245,351,6.717755,345.780183,353.822816,2.822816,0.7076,PRJ-AIR-A01|PRJ-AIR-A02|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.90809,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,38e90ad461d0ea50b9f7342b3cb9afbff9ecbce84f9963d1d90d77721bcfd4c7
PRJ-AIR,P03,150,319,338.524606,351,12.475394,339.280075,346.186639,0.0,0.9312,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.906617,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6ee86da9102a22d993a04a925d0c70ef12269488d4ba875cdd66d98913125b22
PRJ-AIR,P04,201,319,344.384606,351,6.615394,345.786236,351.542966,0.542966,0.7772,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.911707,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1e41e8bbca08b6140fdc7b5dfbdb90a191adaafb0809bb0fd1e24d0c94de5572
PRJ-AIR,P05,251,319,342.582228,351,8.417772,342.60257,346.569828,0.0,0.9716,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.905214,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0b7e13ea6d07738e3dadefe0c96192613e6b32c685925199b208bc1a1e6f9163
PRJ-AIR,P06,301,319,349.800115,351,1.199885,349.969523,351.787925,0.787925,0.6896,PRJ-AIR-A01|PRJ-AIR-A03|PRJ-AIR-A04|PRJ-AIR-A05|PRJ-AIR-A06|PRJ-AIR-A08|PRJ-AIR-A09|PRJ-AIR-A10|PRJ-AIR-A11|PRJ-AIR-A12,0.903045,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,64d42cfad5100e91fbbf0e5d5e6efb01db18d2e5529e65af31275c105c12b2a0
PRJ-HWY,P01,44,279,286.485187,307,20.514813,289.310618,295.735221,0.0,0.9888,PRJ-HWY-A01|PRJ-HWY-A02|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.96148,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b0f237eaea3cfaf189eb9b5787de41f2794f34a5d9fd9a1abc8ae7bd4d70cc87
PRJ-HWY,P02,88,279,289.279115,307,17.720885,291.473388,297.658562,0.0,0.9856,PRJ-HWY-A01|PRJ-HWY-A03|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.96047,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4a528d10293c4723dac801cd8c12514348df5d367cf825ecc4f6302009eb3a51
PRJ-HWY,P03,132,279,287.473774,307,19.526226,288.318115,294.20528,0.0,0.9976,PRJ-HWY-A01|PRJ-HWY-A03|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.958497,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3a9294f95567fd7624f306eed08a31a55196ff59c6247b8300ef39cf5f88a82c
PRJ-HWY,P04,175,279,288.372182,307,18.627818,290.061591,294.545181,0.0,0.9992,PRJ-HWY-A01|PRJ-HWY-A03|PRJ-HWY-A04|PRJ-HWY-A05|PRJ-HWY-A06|PRJ-HWY-A08|PRJ-HWY-A09|PRJ-HWY-A10|PRJ-HWY-A11|PRJ-HWY-A12,0.966751,2500,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a9c6bbb9d6938f4bed18276ba59ec1e009947ce8232ac2d0eedd457f5e0d20fc
