project_id,weather_event_id,event_day,weather_type,threshold_exceedance_index,normal_allowance_days,lost_work_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-WX-01,340,HIGH_WIND,0.356386,0.5,0.57,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,847e7a84b9a40e75f81a24613b89cd15b742375d3ccce28fb0d1cf671ff15c26
PRJ-AIR,PRJ-AIR-WX-02,49,EXTREME_HEAT,0.611569,0.5,1.22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d485d8b4f3eb2404bc83d2188adef6f36117b4ae698d96b98dcd725e28a798fe
PRJ-AIR,PRJ-AIR-WX-03,322,SNOW_ICE,0.390487,0.5,0.47,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,480544887db39c6bfd58e78efa45239ca913b896eb68a5368bdd6ee7cd49a62c
PRJ-AIR,PRJ-AIR-WX-04,209,HEAVY_RAIN,0.450145,0.5,0.72,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5aab5e118f1afdfec08b8e139239096fcf6aa854b6fbdb2abc29977b980f9ff1
PRJ-AIR,PRJ-AIR-WX-05,226,HIGH_WIND,0.525416,0.5,1.05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b384a80900a7d9d6a94ef7e00809067d8a92f14576592b032a7ab8f9f458944f
PRJ-AIR,PRJ-AIR-WX-06,59,EXTREME_HEAT,0.418961,0.5,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f5d2494a06ff9cde36f3170896a1d9129e5f75d9d2f0aa2adca76abf1d718e4b
PRJ-AIR,PRJ-AIR-WX-07,23,SNOW_ICE,0.888431,0.5,1.42,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,01e68bab97be5c729f44d6fa43d1ec88ec559aa94af5200aa4a4fc1906c9e3b4
PRJ-AIR,PRJ-AIR-WX-08,242,HEAVY_RAIN,0.690402,0.5,1.38,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d891a4d7e9a45f51a52faf1b5d441ae64447a9c795b171a716d567f71e8adc66
PRJ-AIR,PRJ-AIR-WX-09,261,HIGH_WIND,1.10514,0.5,1.33,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,701bf3d34446d41e50e5bb01c4f160c044038a6b0f0528b42edb761875ec2b24
PRJ-AIR,PRJ-AIR-WX-10,180,EXTREME_HEAT,0.311412,0.5,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0b76c87bfa37f0c09977c0b9102b1c0b9d919af114269b0b980d24dbb6f790ba
PRJ-AIR,PRJ-AIR-WX-11,77,SNOW_ICE,0.819402,0.5,1.64,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2b95dd90ca1eb449ca264905f7126e655e65dfb4b0f6c526179a92bdcddbcefa
PRJ-AIR,PRJ-AIR-WX-12,348,HEAVY_RAIN,1.355068,0.5,1.63,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d563d9d88805c56c3c9487c17d7a5a2b71e64537c1aa7dbe5356391a16ab48a3
PRJ-HWY,PRJ-HWY-WX-01,62,HIGH_WIND,0.384431,0.5,0.62,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,93fc751d7e4a2c3155c0e7ac3a36352f9c148fe9e615062f5757590944b646c0
PRJ-HWY,PRJ-HWY-WX-02,256,EXTREME_HEAT,1.414551,0.5,2.83,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,53699956c680bf3e9424fb4d508c455ad42751f75a93a3ee60bfd59b81fd16e3
PRJ-HWY,PRJ-HWY-WX-03,240,SNOW_ICE,1.599858,0.5,1.92,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6bf5c8cf871af5cb0d6fc76fb886a021aff984770a7e8d8aa0be3118f76d6fcd
PRJ-HWY,PRJ-HWY-WX-04,32,HEAVY_RAIN,1.347658,0.5,2.16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8ea14e81097d40ac81eb90be1f1025550585431f16ec21b85a6c4fa4c26a4e13
PRJ-HWY,PRJ-HWY-WX-05,270,HIGH_WIND,1.294167,0.5,2.59,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f48ab6adabbaee263ed46fb23b25d1b9157c2e11a5be7a29bd4322df832644f8
PRJ-HWY,PRJ-HWY-WX-06,72,EXTREME_HEAT,1.408414,0.5,1.69,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c7cc05f64184b7b976bf2a9405d574a14f095e144e4558dde6634a262a335591
PRJ-HWY,PRJ-HWY-WX-07,86,SNOW_ICE,1.521682,0.5,2.43,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,256df82484f07473d26e6a722674ae9fbe918c2c1199b79ad84b0cf181894b82
PRJ-HWY,PRJ-HWY-WX-08,122,HEAVY_RAIN,1.269157,0.5,2.54,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,985b441211492ea5ebf7e5775a522c2a9c0e1bf8f1f78b6c96fc67f07b3c713e
PRJ-HWY,PRJ-HWY-WX-09,83,HIGH_WIND,1.580986,0.5,1.9,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e7e208c799aeb7680e425001835cf13aacf7cad36a3993fb66ca681cb6fe1ec4
PRJ-HWY,PRJ-HWY-WX-10,63,EXTREME_HEAT,1.347875,0.5,2.16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d8c9718ef03746159fad32695f2a7c7d94c000be12cfd628cf974f7177a4ca95
PRJ-HWY,PRJ-HWY-WX-11,185,SNOW_ICE,1.13503,0.5,2.27,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,56d9fa9f70a20c4c81dc5f4717d36fc8798585f81f643b756a1ee84744ff82e3
PRJ-HWY,PRJ-HWY-WX-12,84,HEAVY_RAIN,0.922798,0.5,1.11,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cb8379d9fea1a459b4a2e1033e22272c37bfa769d43f412a04e42f762647a5c7
PRJ-HSP,PRJ-HSP-WX-01,10,HIGH_WIND,1.092705,0.5,1.75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,343613d9942b0f8d9590033275ecbc4a33b8d858bff767885dd8d45714c5199c
PRJ-HSP,PRJ-HSP-WX-02,150,EXTREME_HEAT,0.454197,0.5,0.91,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f9a622ae3e479173b52223bf921a1323ac290c175dc7984144490ed4b029fb1c
PRJ-HSP,PRJ-HSP-WX-03,258,SNOW_ICE,1.304943,0.5,1.57,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,84f2d971c3c8ba77357165d2304b8785773f904aeb526da4ce2a5be1b8a2f187
PRJ-HSP,PRJ-HSP-WX-04,257,HEAVY_RAIN,0.881562,0.5,1.41,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,45b10cf65b50cf5d2b164a04671a8f8cd8869eac5c7d2257d79b0d7bcfeb1d40
PRJ-HSP,PRJ-HSP-WX-05,280,HIGH_WIND,1.122572,0.5,2.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5c3fdf78a6b07c6a564e284c5447e0317b6e805e591c7f8f82c0d282f00c49f7
PRJ-HSP,PRJ-HSP-WX-06,289,EXTREME_HEAT,1.46015,0.5,1.75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,77776a5c46c5f15193aba21e40c65ba05bf4ab3d6adb64fac0bfa76625f914bf
PRJ-HSP,PRJ-HSP-WX-07,217,SNOW_ICE,0.824,0.5,1.32,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,15e322da3cec986f145adb7d822ffacf484b620b61e98f6885bb58d5b57ef35d
PRJ-HSP,PRJ-HSP-WX-08,69,HEAVY_RAIN,1.07728,0.5,2.15,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,555bf674d6987e786e1a3b03823b64050ddb1df1b6770f9853ff523ecca4f22d
PRJ-HSP,PRJ-HSP-WX-09,337,HIGH_WIND,0.298215,0.5,0.36,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dd1ef4a79e301dd6922f2a571c742e5c74a4f3507ec80acddcf1c7d4050cc6e0
PRJ-HSP,PRJ-HSP-WX-10,136,EXTREME_HEAT,1.053057,0.5,1.68,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a795a31cd211f3412a55be4d670eae2c78fffcdd584b36dab9494a3c1012aa45
PRJ-HSP,PRJ-HSP-WX-11,223,SNOW_ICE,0.350766,0.5,0.7,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,91e548f577e5a370aaf9c3f9d885d84425640ec07122d02184196c71912eb780
PRJ-HSP,PRJ-HSP-WX-12,82,HEAVY_RAIN,1.240564,0.5,1.49,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d684fec44dc0a7826dbd5457d15c90a855520c2b05d7c8d0151d61f01e68e6b6
PRJ-WTR,PRJ-WTR-WX-01,180,HIGH_WIND,0.557759,0.5,0.89,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,80a41b3326dba3d7559fa737fd8487512993db36aede795bf416d07e3f3a4899
PRJ-WTR,PRJ-WTR-WX-02,186,EXTREME_HEAT,1.031938,0.5,2.06,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,18ce26614418eb49a3fbca930973d14c7c3ea30c2e55fe9385f444f917d034e8
PRJ-WTR,PRJ-WTR-WX-03,57,SNOW_ICE,1.537519,0.5,1.85,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,da5c2e6cade21b5e33e5937942e4d9be0b5390a6d4942c4e4dd9fa1ed29ec7c4
PRJ-WTR,PRJ-WTR-WX-04,10,HEAVY_RAIN,1.265475,0.5,2.02,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,61d3cac05ed56d13cb58be5f7b9e16b17a62369f0ca2baa4691be1f61578f3ce
PRJ-WTR,PRJ-WTR-WX-05,59,HIGH_WIND,0.420998,0.5,0.84,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e114b0be1658e7154d7842cf7462defee33a2ead75799fd8df17f00a6621321a
PRJ-WTR,PRJ-WTR-WX-06,180,EXTREME_HEAT,1.106987,0.5,1.33,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8f8048f3abb6d59c84c88e8e2f1833417770f09ebb58479d589a9a2fb62c05bf
PRJ-WTR,PRJ-WTR-WX-07,115,SNOW_ICE,0.728569,0.5,1.17,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1f54427596f75cd3a7d1f90a143fedf3e0008fd2f7fc350457fcf57eb42d4e0c
PRJ-WTR,PRJ-WTR-WX-08,134,HEAVY_RAIN,0.810711,0.5,1.62,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a42a530d8fb1b66acd71a04bf2d553fd38641161beaf1d7ab180370c1f418a55
PRJ-WTR,PRJ-WTR-WX-09,173,HIGH_WIND,0.816762,0.5,0.98,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,85b46330c692779e8f64eed591b15624a3773010592c6befa14a76dfd34c9817
