reference_project_id,complexity_band,early_cpi_band,early_spi_band,document_risk_band,decision_class,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,MEDIUM,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,91335cba2a9d6b0fa16a32dbd0628f24fc79b304309e401096e9b0ea6c64e514
REF-0002,MEDIUM,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,87c0397f3433a03c0e13a037189f9664fa82f1810d8d3b884fb9c455f7f39b46
REF-0003,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ff91837f5b47a2e48ebf8a6cd9f37c1ce215b7a1aa6026cab0671aa629a5ae0
REF-0004,LOW,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,04c2e54d4911d411911fbe00d0b9a529d341bcb856163f3b5807caff65876291
REF-0005,MEDIUM,MID,MID,LOW,AMBER,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,aae5171eec2a3cedac3777c5489e7b66b4347042a0bc623be6136887613168ca
REF-0006,MEDIUM,MID,MID,LOW,GREEN,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fa8d4a8045536a3ec209b9db2d04a862d6246d1a5acd5521fc01e464e06b088b
REF-0007,HIGH,MID,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,876abc3af7f1730066b27d17122a4e88a8370ec9a2de44f17999d58efda4ca74
REF-0008,LOW,LOW,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c799badc28d6cd899d614779c5c9527bc9eb57650e1a1ca329d544e22f3fe923
REF-0009,HIGH,MID,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,68d576e7a03aab01469f6441e3ee0cc72f84bb3ff3d569d9f98baae777f687e4
REF-0010,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,929fc5fb6977a3499a5ee55ad8f81eafeca4f5c60d957d21db453998a416b4ee
REF-0011,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eff76b60aa01080562b98740488e4ba7b4f47f0a2fc891a5a4938f7038a8f097
REF-0012,LOW,MID,MID,LOW,RED,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dea04f3910d0604ebf43cab6cfadddf8bebb53b27da8adc02aa4b252e3b1a862
REF-0013,LOW,LOW,MID,LOW,RED,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,69efd8d03f2028446e58a1027e82d92816f49bf9b820e42439464fd81d631a63
REF-0014,MEDIUM,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,29b7040097255d5e9f7af9f48541e65583d5fd67e655e80a25e80db1b969b9c4
REF-0015,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4e348dcab9e739f7ca4097af73c39f69fe4c6e0ac1b288e3999ccde1575ec060
REF-0016,HIGH,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,39b772d2fa56561c48d4e79bbc9bd3b213adf41994d6924f10f4d349da0e84fb
REF-0017,LOW,LOW,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6c60fbddafb4f780e2599bb1068819e97d4a413156ab6baec229aa37a0c37252
REF-0018,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,052ee99d0447c94fb80dd427d8fd4ca0ce79a419765e3f68340af8b330c778aa
REF-0019,LOW,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0879e04328c373f162b447856f4f0e71f05333f19e7830f4d046688b166d1c3e
REF-0020,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,98557146e2b022fc62c56462f6a3083caea7c1c1da9e801da653089d50c53492
REF-0021,MEDIUM,MID,MID,LOW,AMBER,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2140667362dfd48179241d410598e28e461db6eeae6cbf95a7c748b0b5c96392
REF-0022,MEDIUM,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,52b38cdde4ac54fdb5bba54e3497de7111e9d1be80c9db6bffe062fbc7113085
REF-0023,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7dfc8a086eb67ceaa6698f33c775e01ce01e4f290d2bde86eec11dd061346708
REF-0024,MEDIUM,MID,HIGH,LOW,AMBER,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f730a3eec17e154f738faea1a746f54a65eb36bc4e072315276b1341952e5023
REF-0025,HIGH,LOW,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d4ec3f509a4de60c00fe64848b9783485b15e9f2f3ecf1563d22bd82d902bf55
REF-0026,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,225f84b3535cdaff40b3c9aa9b5dade3183ed038ebb9114f5b509ea9731ae2aa
