source_id,scenario_id,mass_green,mass_amber,mass_red,mass_theta,mass_sum,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.703471,0.0,0.0,0.296529,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4901eabb90c52194cbdef6953c1575858e41bdd6ccc4f9b122ab9e253a8f67b4
EXP-01,ESC-02,0.568904,0.068163,0.0,0.362933,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4f52b1c32924c7380f49c3572c8b4a5a65d73fe01fbca572525355a0859936b6
EXP-01,ESC-03,0.685122,0.0,0.0,0.314878,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f7aa9c680f7e2900cbc69120c4f30b1bf82804dfc10c41a6e46f2264bc767c0c
EXP-01,ESC-04,0.647387,0.05632,0.0,0.296293,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0dbe5c1219ffeb49c13e99bed0872a85ebae5e7e8f29d2d5095043597d590919
EXP-01,ESC-05,0.362198,0.283975,0.0,0.353827,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,23af49b393eff6d25c30c5a6f8905d112a839ea2db1a9f554308115bdc51cc63
EXP-01,ESC-06,0.496856,0.162284,0.0,0.34086,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec852cb724af9a4270b6efc126fd632b86a8b3c99204cb5c31a7900226b0b0e9
EXP-01,ESC-07,0.490026,0.164343,0.0,0.345631,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,15cce25398a6fbd22dfa7eb6f209735aa097f550c69ea46132eaf7679d3b87ae
EXP-01,ESC-08,0.383815,0.295481,0.0,0.320704,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,727a54df80a1139deba747c99c4b8868dc848e5985d1ce8ac43168fa409f794e
EXP-01,ESC-09,0.452215,0.250541,0.0,0.297244,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2f228640b3395152830b0702b312f73811e872381bd447a265d43ec8bc9b4f67
EXP-01,ESC-10,0.439573,0.217753,0.0,0.342674,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1e05f3159bee8a71490e71f83755b0c80b54d26bc3c68ccf95fcf84612056a2e
