expert_id,expert_role,experience_years,base_reliability,bias,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,PROJECT_MANAGER,5,0.68,-0.056,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3724c8de120b88b562a4eb10ba16ea9fe2615ad78a4c642a7431ba072ad4864f
EXP-02,SCHEDULER,7,0.7,-0.048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0c8d91f662adfa1dd6bdb340e1b6d160792a3c47467fbfb836e450f1feb48b5b
EXP-03,COST_ENGINEER,9,0.72,-0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e101e3ba5e7fd99f3144ba0f96a1806348dbf02d5be2963340756251814b8562
EXP-04,RISK_MANAGER,11,0.74,-0.032,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6d1ce20fffdba845c972b217139e6b817fb68319516e0ce637fe46f7aee60eba
EXP-05,CONSTRUCTION_MANAGER,13,0.76,-0.024,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,aaa4b2574d83bccaec4b6528e30d1d0387e71ceb41a415b4a05f4c896991add3
EXP-06,PROJECT_MANAGER,15,0.78,-0.016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0c65e124bda50a35a7c0c503927620c2db107c7eb2efdf5cf576679f8dd98ae7
EXP-07,SCHEDULER,17,0.8,-0.008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7aed6fb56ec1a217a0796e01523907ad463ec54e6bf1d73043decc12a9ac94ca
EXP-08,COST_ENGINEER,19,0.82,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,09b835537477be7620730809d8ac2d6a14ff4e657fe07bae4b0c6f8a6007e599
EXP-09,RISK_MANAGER,21,0.84,0.008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8dad9b58b59ef7e63f702aed49726ea03a215d6e9ad8d43eafad496668d9d394
EXP-10,CONSTRUCTION_MANAGER,23,0.86,0.016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d00d732cc00ea66392e45e6b8c8f7129833012bba620015291d7f5796a5a2853
EXP-11,PROJECT_MANAGER,5,0.68,0.024,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,79c6f6c1cb677e403a92118158b62a22d9aca16c73860e57ad927280a3fa6bad
EXP-12,SCHEDULER,7,0.7,0.032,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1b2da947f3b7c1f6ee0f61025da58adb8a4f3dc29e1002770f1b71786ab5b772
EXP-13,COST_ENGINEER,9,0.72,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3736f2af424e49757c30d1e0219aee57533120e106d40728161550b3af682aab
EXP-14,RISK_MANAGER,11,0.74,0.048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,90a883f2898e33905e116b9f212c7f8d2e72e6220270abf93b8f8a7158e5cc56
EXP-15,CONSTRUCTION_MANAGER,13,0.76,0.056,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ceaf37c24dc156429d173cdb0b0d050f503475ee12e98cd2cf2054929520f47
