expert_id,scenario_id,p_green,p_yellow,p_amber,p_red,probability_sum,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.914812,0.084632,0.000556,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,efd1eeda2d08198ed9e32ce1ca34433f0c46b908021a4a0445131e2d297131a5
EXP-01,ESC-02,0.798408,0.196625,0.004954,1.3e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e9b31696b009337e8258facfdecb0f5fe697ae53b553fd7c9ad73237227b6d87
EXP-01,ESC-03,0.90728,0.091986,0.000733,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,788bc8a282317cee5c72af84636d0b92307d56a530f7ed1fad27abb41b18df83
EXP-01,ESC-04,0.8588,0.13959,0.001609,1e-06,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8ca7a5e4abd095dd8d040abe9838b877a5229c36a10eb147fa3592aa7094fef6
EXP-01,ESC-05,0.309048,0.582241,0.106804,0.001908,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8099e2ac996f9d387c43e345dd5850b352c054fd1f22293c8bdac4d2d1bdb4ae
EXP-01,ESC-06,0.630593,0.351549,0.017777,8.2e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f39884d98cc919b23442145a48da27f4f0ca5128cee1d2d467233cb63806579d
EXP-01,ESC-07,0.62103,0.359497,0.019376,9.7e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b2eb71eeb8a6a24c9ac96abbe392f8e249525eef8f475efeab9decb0bd0a7737
EXP-01,ESC-08,0.310165,0.595751,0.092907,0.001176,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8281978fcb07d5b39d1d5edca580a35ce1b3a7b6eaeab5da8211e085eb6258f5
EXP-01,ESC-09,0.447027,0.511073,0.041658,0.000242,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d7cc26fdc7fd88bf347172d4088f79e087dcfa455f09145a05c1ec5f253c5bdf
EXP-01,ESC-10,0.488668,0.469647,0.041351,0.000334,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,12ea9890edb0b1ec771993ae6aa6c9678c3b3d098ec8bc6358123cd5d0c3f900
