decision_problem_id,action_id,scenario_id,cost_delta_usd,delay_days,quality_risk,safety_risk,residual_risk,feasible,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,DP-01-S0,0.0,0.216609,0.18,0.12,0.2,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,821a4b2de285ca642e82d8ab81c2c2f785156d201d735e80650d0a9d01b2d270
DP-01,DP-01-A0,DP-01-S1,10780.0,10.967498,0.228,0.152,0.296,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bbda61b70d3a944384af16093070c9f7c8fc62048acd8731874a7065e5367001
DP-01,DP-01-A0,DP-01-S2,13860.0,16.318346,0.204,0.136,0.344,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,91f337a54fe26a312c50c1bdbdca2f39eab5134015a35d1b5d998aa47de099eb
DP-01,DP-01-A0,DP-01-S3,9240.0,9.442849,0.196,0.16,0.28,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c9c5b34047a3ea12ab9db865ecb9b41489532d3d08ebcf0a69f3eb34d27ec4bd
DP-01,DP-01-A0,DP-01-S4,21560.0,21.227743,0.252,0.184,0.4,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,66582a1bb434ec4e30b91f51cc7daecdcb4ee19d9dabb9f23c99c0c4c52d6550
DP-01,DP-01-A1,DP-01-S0,1280000.0,-10.926963,0.25,0.23,0.12,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8a520f6d205781bb96cff11d201c268cd7e83d79e13fd683a9dc80505d537688
DP-01,DP-01-A1,DP-01-S1,1290780.0,-4.670033,0.298,0.262,0.216,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dc0d14499deb6e169d83d3da86bc8f2a139c5f86f514a70b39eb3370c140a479
DP-01,DP-01-A1,DP-01-S2,1293860.0,5.195788,0.274,0.246,0.264,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b18b1659940f162ddfce046e5f71799031b91bf13c5031216dee19f154160b15
DP-01,DP-01-A1,DP-01-S3,1289240.0,1.496121,0.266,0.27,0.2,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,29c991ef4b49389ff4fd0f2ef09559512125db3cf22449b9d068ba3f988977b5
DP-01,DP-01-A1,DP-01-S4,1301560.0,13.869898,0.322,0.294,0.32,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,447403d953eec44c0514363c865d0e87912124a1d21eeb29ea94b9114ce0ea66
