decision_problem_id,criterion_id,criterion_name,direction,owner_weight,unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eb879d05e3e99ca35b5c7453ede0f48125088fd9f339e3bc95307680810185bd
DP-01,DP-01-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ec504dd6efc3d1ce5b0f8e2e62989d1d9afd8802a31a0a305f0c289f63332281
DP-01,DP-01-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3b51c8724e7e805ff19f3d775b8f308b1ef0513c263375b2113683d7ba845979
DP-01,DP-01-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d9bff7b749cb2a8db206f6b3694217092d9ec36eed7d6d718552419c962cfd00
DP-01,DP-01-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ff34aa62649441f9c7e1fe98bd2af9a61b0e5978881c76a4d817b4aa78371ec7
DP-02,DP-02-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,993d342a26612de3d4cafb2e055d052040be8e2eea60a66e17b09a0215e3844e
DP-02,DP-02-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,db8c8ff949be098d8d93bb3d644b101df0933de0793737b3b0a11865276c1b47
DP-02,DP-02-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3e2aabbc068492a1a0ce53b6d3076129281647f1e010bb040759d6918b1fde90
DP-02,DP-02-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0f08d4160acc5a8ad1d76fde1c9271da785bf02e4e4824bdc0765ee2c65c685d
DP-02,DP-02-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cb9d8c393f44a8ce1cd00b540dfe9ab02317f83094e14847daca9b2fff7112ad
