decision_problem_id,project_id,reporting_period,decision_horizon_days,authority_required,budget_cap_usd,crew_capacity_increment,max_overtime_fraction,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,PRJ-AIR,P01,60,PROJECT_DIRECTOR,9625000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1b4decd6075420215e38e4290d103b2c9337411d4ce5479ad71e0cb1197d8eaa
DP-02,PRJ-HWY,P02,60,PROJECT_DIRECTOR,5250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,57a40cbae2dcccc895cbbb772c800bce99fc07eafe61cb4167f0e7d7c9668161
DP-03,PRJ-HSP,P03,60,PROGRAM_EXECUTIVE,11500000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,199ab59018a2cca18ec0981685da2b5091449cf9dd730da48d69524f53e7f4f1
DP-04,PRJ-WTR,P04,60,PROJECT_DIRECTOR,4375000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8ea96fa7aa9b4ba8cd43554fff1dfbf33a4d82efd578ac31a06d15b5e69e0150
DP-05,PRJ-RAL,P05,60,PROJECT_DIRECTOR,7250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d43d76cd9bb4c803ecba3e359df4cab7474007a53919f9259a2a3e71c02fdd14
DP-06,PRJ-DCT,P06,60,PROGRAM_EXECUTIVE,6000000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a4717ed66185836a8518c33f0652c166850350b4b654677df3958da7d31ffa28
DP-07,PRJ-AIR,P01,60,PROJECT_DIRECTOR,9625000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1602ec56396f301a27ec4dbc9537caf49c173b22f937bd6f507f98f63a2daf0b
DP-08,PRJ-HWY,P02,60,PROJECT_DIRECTOR,5250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2f497faff206d52cc33828295fa3339eddda83cc99d79487bd80bb278f887f2d
DP-09,PRJ-HSP,P03,60,PROGRAM_EXECUTIVE,11500000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a538039fc871a759f95a2a562b8f3fce08e0c45dc8d0e5466b82c45c9ddebd96
DP-10,PRJ-WTR,P04,60,PROJECT_DIRECTOR,4375000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,934e9254ee34589eb1d8edf9256b37b091881c0c59f68264e9a9bbb592cc2274
DP-11,PRJ-RAL,P05,60,PROJECT_DIRECTOR,7250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3ff40caba110f809782a694bc7b5a2f326d8ba06061401cf0a3b74635a6c1e71
DP-12,PRJ-DCT,P06,60,PROGRAM_EXECUTIVE,6000000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c434a03d749325b41babada357647a3d33e365cee9ee5dcaca4e622d7c3b438a
