decision_problem_id,critic_weights_json,critic_topsis_top_action_id,marcos_top_action_id,minimax_regret_action_id,minimax_regret_value,pareto_action_ids,lp_success,lp_objective_value,lp_solution_json,decision_sensitivity_change_rate,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,"{""EXPECTED_COST_DELTA_USD"": 0.250586, ""EXPECTED_DELAY_DAYS"": 0.223434, ""QUALITY_RISK"": 0.175846, ""RESIDUAL_RISK"": 0.18731, ""SAFETY_RISK"": 0.162823}",DP-01-A5,DP-01-A2,DP-01-A3,0.71801,DP-01-A2|DP-01-A3|DP-01-A4|DP-01-A5,True,-848000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,42785693031e2f9dfdc5932f8019132f49d354264b8499a63a33ef80e3cdc5a0
DP-02,"{""EXPECTED_COST_DELTA_USD"": 0.250825, ""EXPECTED_DELAY_DAYS"": 0.218976, ""QUALITY_RISK"": 0.177241, ""RESIDUAL_RISK"": 0.188273, ""SAFETY_RISK"": 0.164686}",DP-02-A5,DP-02-A4,DP-02-A3,0.827,DP-02-A1|DP-02-A2|DP-02-A3|DP-02-A4|DP-02-A5,True,-901000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,42c84b53a02317d433ee9f9b2024d8dc7a1025be44a7b66579efdadfc5a5eae3
DP-03,"{""EXPECTED_COST_DELTA_USD"": 0.250775, ""EXPECTED_DELAY_DAYS"": 0.216607, ""QUALITY_RISK"": 0.178833, ""RESIDUAL_RISK"": 0.188621, ""SAFETY_RISK"": 0.165164}",DP-03-A5,DP-03-A2,DP-03-A3,0.848,DP-03-A1|DP-03-A3|DP-03-A4|DP-03-A5,True,-954000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,179742c869923df0577f19f426cc3f8312b36199c2b99222c975f39bbbc4eb5b
DP-04,"{""EXPECTED_COST_DELTA_USD"": 0.248342, ""EXPECTED_DELAY_DAYS"": 0.21865, ""QUALITY_RISK"": 0.179722, ""RESIDUAL_RISK"": 0.187606, ""SAFETY_RISK"": 0.16568}",DP-04-A5,DP-04-A4,DP-04-A3,0.938,DP-04-A1|DP-04-A2|DP-04-A3|DP-04-A4|DP-04-A5,True,-968406.25,"{""add_crew"": 0.796875, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,13372e58d3729449f7b4d0e0d63e65f1fd6147d7386b93af3d13f7fefc2f1a80
DP-05,"{""EXPECTED_COST_DELTA_USD"": 0.247943, ""EXPECTED_DELAY_DAYS"": 0.224941, ""QUALITY_RISK"": 0.176752, ""RESIDUAL_RISK"": 0.186509, ""SAFETY_RISK"": 0.163855}",DP-05-A5,DP-05-A1,DP-05-A3,1.037,DP-05-A1|DP-05-A2|DP-05-A3|DP-05-A4|DP-05-A5,True,-1060000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a9dc193c96e0fe74f73ea650a071a33be7af7ed22e0acd7a0cdacbcc7b758498
DP-06,"{""EXPECTED_COST_DELTA_USD"": 0.250132, ""EXPECTED_DELAY_DAYS"": 0.22262, ""QUALITY_RISK"": 0.176244, ""RESIDUAL_RISK"": 0.186936, ""SAFETY_RISK"": 0.164069}",DP-06-A5,DP-06-A3,DP-06-A3,1.118,DP-06-A2|DP-06-A3|DP-06-A4|DP-06-A5,True,-1113000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,18d2eba4f7487eac01a815fb1f83677377599dfd1561aa5f3105a5eb92580613
DP-07,"{""EXPECTED_COST_DELTA_USD"": 0.249566, ""EXPECTED_DELAY_DAYS"": 0.222666, ""QUALITY_RISK"": 0.176636, ""RESIDUAL_RISK"": 0.187014, ""SAFETY_RISK"": 0.164118}",DP-07-A5,DP-07-A1,DP-07-A3,1.208,DP-07-A1|DP-07-A2|DP-07-A3|DP-07-A4|DP-07-A5,True,-1166000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5f2855bf8f25abaebc732cc2d529d72af798f8c5e99f9b219f6c897c6a6d43df
DP-08,"{""EXPECTED_COST_DELTA_USD"": 0.252534, ""EXPECTED_DELAY_DAYS"": 0.224321, ""QUALITY_RISK"": 0.172822, ""RESIDUAL_RISK"": 0.187855, ""SAFETY_RISK"": 0.162467}",DP-08-A5,DP-08-A3,DP-08-A3,1.298,DP-08-A3|DP-08-A4|DP-08-A5,True,-1219000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0252676627122cbbf735e9a7551a175e5e4272e0e6588701d5bf0a9884bcee22
DP-09,"{""EXPECTED_COST_DELTA_USD"": 0.249256, ""EXPECTED_DELAY_DAYS"": 0.224715, ""QUALITY_RISK"": 0.176469, ""RESIDUAL_RISK"": 0.1865, ""SAFETY_RISK"": 0.16306}",DP-09-A5,DP-09-A3,DP-09-A3,1.388,DP-09-A1|DP-09-A3|DP-09-A4|DP-09-A5,True,-1272000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e6d801bd79798d36b43563b8aa1e0a2b7294262f66d916a1936e10289e54b07c
DP-10,"{""EXPECTED_COST_DELTA_USD"": 0.253921, ""EXPECTED_DELAY_DAYS"": 0.218871, ""QUALITY_RISK"": 0.17565, ""RESIDUAL_RISK"": 0.190008, ""SAFETY_RISK"": 0.161551}",DP-10-A5,DP-10-A3,DP-10-A3,1.478,DP-10-A1|DP-10-A3|DP-10-A4|DP-10-A5,True,-1274218.75,"{""add_crew"": 0.796875, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0b96298d70fbfaf4045e6ebd763eb89f126796081e9c4274b33501ded5c7a8b3
DP-11,"{""EXPECTED_COST_DELTA_USD"": 0.250655, ""EXPECTED_DELAY_DAYS"": 0.22912, ""QUALITY_RISK"": 0.17173, ""RESIDUAL_RISK"": 0.186642, ""SAFETY_RISK"": 0.161853}",DP-11-A5,DP-11-A3,DP-11-A3,1.568,DP-11-A2|DP-11-A3|DP-11-A4|DP-11-A5,True,-1378000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,15b3d0607cf4fd8617e68981ae8fe83dd7a401562daa3111a1f205b58e6771cf
DP-12,"{""EXPECTED_COST_DELTA_USD"": 0.252177, ""EXPECTED_DELAY_DAYS"": 0.223638, ""QUALITY_RISK"": 0.173551, ""RESIDUAL_RISK"": 0.188081, ""SAFETY_RISK"": 0.162552}",DP-12-A5,DP-12-A1,DP-12-A5,1.537436,DP-12-A1|DP-12-A3|DP-12-A4|DP-12-A5,True,-1431000.0,"{""add_crew"": 1.0, ""expedite"": 1.0, ""overtime"": 1.0, ""resequence"": 1.0}",0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,55149c5e3206b14d3d7073f2b16f7f2dabcdccbbd451b35428417f238957aef7
