attribute,attribute_value,dominant_value,value_rank,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
COST,LOW,LOW,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3d16ddff484a66f3a503284d5cddc4f5c8fae60e7f15399795ca2df7e8a1daa0
COST,MEDIUM,LOW,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4ff4bca9b1404ae270026e211915c6a04ada89466709bfc9720fe4d7c8323272
COST,HIGH,LOW,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c3230e5f0a367bac874aa4e2aaae38a4d0a08e67847c2691921e1f769f834592
SCHEDULE,FAST,FAST,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,955f1e12b895b663ee0a34bb8b32248e1596ab9230304eb6b57bedb6e09bdbd6
SCHEDULE,NORMAL,FAST,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6689d2889498e8f743812ecf4b586fad3a73a2d14b7c555e4af765968e55e8d2
SCHEDULE,SLOW,FAST,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9e46cdb998bfa5d0eb7bba57af8450c8df098ee46a9ef7af1307e91f0ddfa715
QUALITY,HIGH,HIGH,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4b6c3bb1146f9f139b3916500982fefb521162a6d8309e35b394da46329b0286
QUALITY,MEDIUM,HIGH,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cf6c2d3020e554912f59841eaa9df9fb9854afae36a33021f1ba92a394b8875b
QUALITY,LOW,HIGH,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ba8130099a766172bd11cce1c0d4d05aa47fb9a4be416c7458cef86d03e67395
RISK,LOW,LOW,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,91c61284f634de65aa4dd23c5d7fa59e9edb1cc168cba30615b4b608fe48971b
RISK,MEDIUM,LOW,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,855c7bc457acac5d751a09a66421e6980e1867bb39771b5c5151bdf269ed360b
RISK,HIGH,LOW,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,327e8ba47732524ff0efb84f94282c6fd4fdd24640ee18d44e62c4221987835d
