literature_module_id,code_module_id,module_name,category_number,category_name,synthetic_package,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
1.1,A1.1,Monte Carlo EAC,1,Quantitative EVM / Cost & Performance Forecasting,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1c455bc95a22857e5a5360f1c06c55a432b5870c24e89625a808b4ba6a23fec3
10.1,B4.1,Multi-Objective Optimization,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c339a856341cb01e297d7906962fd019644108555cb0a61dc39da101fdece8e
10.2,B4.2,Linear Programming,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,573a359364d64fabbb2feec76b4a9e004364595bb4e4840eaab1f60f431ba973
10.3,B4.3,Constraint Satisfaction Analysis,10,Decision Optimization,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,faf753f42aab1616b0521b1fcebc00e6cbdfb4f3bf1ae73ff808a7f00f2d3bc6
10.4,B4.4,What-If Scenario Matrix,10,Decision Optimization,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,37c60e94e88120c862ceafb0e331146d7bbd509545da9a34ff6d5cc1af1720e7
10.5,B4.5,Decision Sensitivity Matrix,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,750de5504e72a1e1ef021d82974c5382a222d39bb38a25faa385805b05f5257b
10.6,B4.6,Pareto Frontier Analysis,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,34d70d5213df9cfb329f2a96e598817dc1082b2def9d4617ed76ab3c906a56db
10.7,B4.7,Regret Minimization Index,10,Decision Optimization,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8bea4d3c56b94ebc73fe8d19079e2143029c2447f17d0c53b7d8338540712765
2.1,A2.1,PERT Network Criticality,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,62e71aebe6c5e56fc6d7b6790a0ec1a66238b38ef272d7d3535dd3ece04fdc9a
2.10,A2.10,Schedule Risk Analysis P80,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,afe4b5eb7995ed81c80bd7c149caeeaa81bdf68b8baa8022a793927898530a91
2.11,A2.11,Critical Path Index,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1e7c1609e3f411675ef867233f50cb22231db5ba17d20022c781c370a08df696
2.2,A2.2,Line of Balance,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e8d019f809cbf7c56ae1f9cc062a3e7193a5b82a5ac712a66afc6441cae07a7e
2.3,A2.3,CCPM Buffer Health,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,996a999fa0424cdb64cc352c1fd14f607c2c0e9926423527e4a91203d5bf5d81
2.5,A2.5,Float Consumption Rate,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e7a80341fb029d2bdb61f77b2ffe837181d4e29c76568faf36f2f2ac6e8df9cc
3.1,A3.1,Reference Class Forecasting,3,Cost Risk,B1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,43b03bda09d3c92c94fbe9a5a61135f55b5a7f78905800516bf5c36289a22786
3.6,A3.6,Cost Risk Analysis P80,3,Cost Risk,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eceb11953c55357ad64a5c07efbc2b5f75e4dc12c18003e0a07cdb873ca46ca1
3.8,A3.8,Parametric Cost Index,3,Cost Risk,B1/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,852dda617bbae4210f86c2a310c43efc0e13040f3ee70eaf7c304a0ca8bbd270
3.9,A3.9,Inflation Adjustment Index,3,Cost Risk,B1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dc61e26c6cb139f02769980a9bd13d9a9f874c5059af7d74981198634e6a1ed6
