project_id,decision_rule_id,rule_branch,application_count,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,670809518c81c0044f5f6a1ad08689a7eef811fed853fdd18d0e2165bdd5f566
PRJ-AIR,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,84,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,139aeebe88cd1aba69855bf7aaec5785f0949f44054b686fdd9a97c868de8a19
PRJ-DCT,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,13,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,841d7735a27dc9b25d69fd2ad7667fb10e849b725dbe701efd32e1f09fbf1248
PRJ-DCT,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,83,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8af51a005086a8f25a4e2a7e5d20f3b8bb0e074cce075dca91dd2712efb8e45a
PRJ-HSP,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,21,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4c83ed246f3c2830304956dceb355e7a8f22c71c819c472ad172a14a1e7293b8
PRJ-HSP,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4d69ae86c10208849f85017545d0e54f82f8e6f3f2c8f158046ab4eca7577722
PRJ-HWY,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,15,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1e4ddd8ca2e14bcb9eb937c0d6d9e9fe31e89003a698e38b5a242c88699f70fc
PRJ-HWY,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,81,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1415a1d4e73f8947bff9135b8c5a5cd3ad9583e09cddc6466b08dcb489a51f0a
PRJ-RAL,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a54d9e65c14ae41274366ce422b911db2ad13dce97da1019228cdbd3cf972fd7
PRJ-RAL,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,70a66c5644c456e20da70f862ca9d084f7bcb9529b957943e759c356a90205ed
PRJ-WTR,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,835b7c7fe934ae3e8c822d6325f30f9353814b9632ba6b6c230099cbdbbea184
PRJ-WTR,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5e404679d5dc6013017b2cc4a94cf9e24f5be6c31fffb27c1ebd4bc82cc6e00d
