project_id,time_step,agent_id,state,demand_units,delivered_units,inventory_end_units,effective_capacity_units,lead_time_steps,decision_rule_id,rule_branch,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,1,PRJ-AIR-SUP-01,DISRUPTED,5.092113,3.6,14.4,3.6,4,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,94fdf56f905a0ede1cbcaf7d70bc1edeef7b07840da555040f100a6a91eb9fd4
PRJ-AIR,1,PRJ-AIR-SUP-02,NORMAL,4.740548,4.740548,15.759452,10.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9be0c15898a07978267ff6e7b95fa7d56415a6e3dd4c2cc681cde63be117217d
PRJ-AIR,1,PRJ-AIR-SUP-03,NORMAL,4.965073,4.965073,18.034927,12.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ddd05f072d03b8d79fa5612adba9991a18a13897ce96a3c42918857ad4812b2e
PRJ-AIR,1,PRJ-AIR-SUP-04,NORMAL,5.727494,5.727494,15.272506,8.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,685e40086c9f105b475a6c40f258570d19eaef3ecdd1b4358dd60452fb6e6c86
PRJ-AIR,1,PRJ-AIR-SUP-05,NORMAL,4.448989,4.448989,19.051011,10.0,2,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2fc37536680a81c7505767f1759cfa327a76f6d139aecdf87be99a88b22d7319
PRJ-AIR,1,PRJ-AIR-SUP-06,NORMAL,4.683533,4.683533,21.316467,12.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8c07bb0c97fa9a4201960db8c0add0330a8f7019789b1d71635990822992d016
PRJ-AIR,1,PRJ-AIR-SUP-07,NORMAL,4.176314,4.176314,19.823686,8.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,44c43ce5360f7e0390cc20c9e564820f096324d14606f426272e2043f5e803ed
PRJ-AIR,1,PRJ-AIR-SUP-08,NORMAL,5.415484,5.415484,21.084516,10.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,28df8325e218eb2a25373c87b6dba9be6c872eba6e9f845798fbce0638cde18d
PRJ-AIR,2,PRJ-AIR-SUP-01,DISRUPTED,4.890168,3.6,16.8,3.6,4,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b6f76eb44888c1c51d9524310a424690714a987d1d7c34d640992e0e5d6d782c
PRJ-AIR,2,PRJ-AIR-SUP-02,NORMAL,6.39226,6.39226,16.867192,10.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ac4fa5e0477b2b9eafeb278a9ba638085dc5c126d2b14bd19cdeefe856bc9932
PRJ-AIR,2,PRJ-AIR-SUP-03,NORMAL,4.225977,4.225977,22.80895,12.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1717aaba88cd19d228eaef68444a8d23c5e98e4eb262cb7a367cc7df274a7ca7
PRJ-AIR,2,PRJ-AIR-SUP-04,NORMAL,6.995191,6.995191,14.277315,8.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4e298a40445591071e7c3d8bcc73ca63da8fb9b09845a76543a314a9b03cb8a4
PRJ-AIR,2,PRJ-AIR-SUP-05,NORMAL,5.437893,5.437893,21.113118,10.0,2,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,55b34ea7ba77dee3451feedf9c0555dd6edb66acaff233754844db00e64b69ce
PRJ-AIR,2,PRJ-AIR-SUP-06,NORMAL,4.665909,4.665909,25.650558,12.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,71cf87922a5c987fc09dbc8456dc48b60e482b15da7297c2ebfc2877353ab5cc
PRJ-AIR,2,PRJ-AIR-SUP-07,NORMAL,4.389064,4.389064,21.434622,8.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4b825756cbe2bb50cec394e548d96a6df8aa3b066ec295cb9e9e0f7ad1ab0ec2
PRJ-AIR,2,PRJ-AIR-SUP-08,NORMAL,6.264494,6.264494,22.320022,10.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a168302e5853381263a65c8fd6b98eb23a720b96ea8f713e0d73b7b92e83dcb8
PRJ-AIR,3,PRJ-AIR-SUP-01,NORMAL,5.175832,5.175832,17.624168,8.0,2,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dd10148b2deb8323693dddc0e997cb5524bbb856021b9f641151c1136a80bc0f
PRJ-AIR,3,PRJ-AIR-SUP-02,NORMAL,3.461376,3.461376,20.905815,10.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a988daa09a9d66c4c5953a933426e694c355c83cfc66b231585caea19b9b8707
PRJ-AIR,3,PRJ-AIR-SUP-03,DISRUPTED,5.837914,5.4,26.40895,5.4,6,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7cf9dcbbda6c59cd86a64aac2acf404f1213d496bdfc16a7fce713ed926c4f3c
