project_id,agent_id,agent_type,base_capacity_units,base_lead_time_steps,reliability,decision_rule_id,network_group,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-SUP-01,SUPPLIER,8,2,0.805,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7934fe2ab5291004c6b59bade601e5bf6fa9df8fbe9064756b4eca3300be0c37
PRJ-AIR,PRJ-AIR-SUP-02,SUPPLIER,10,3,0.825,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b927d32210e54a65b6aafcb174285e7013b021ecd596456aff7aa98e338fd54a
PRJ-AIR,PRJ-AIR-SUP-03,SUPPLIER,12,4,0.845,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8b059bf29254154ae346d7887c5af3b5a3174c9d79d5afaaf1c84c42301c0ac2
PRJ-AIR,PRJ-AIR-SUP-04,SUPPLIER,8,5,0.865,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,75413195614e5d2a6c41fe3ded3b8dfeade8ceba778ac332e6583e83999777c0
PRJ-AIR,PRJ-AIR-SUP-05,SUPPLIER,10,2,0.805,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,44d9ed8541a97c9a067aa9a348ebf7544626dca2b788466f7d7c3a383a0acef1
PRJ-AIR,PRJ-AIR-SUP-06,SUPPLIER,12,3,0.825,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,34b6901d2fd7b755bde52c2651c307895686312d7784727f8efdc7b1f02a9a6b
PRJ-AIR,PRJ-AIR-SUP-07,SUPPLIER,8,4,0.845,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7b2f9f6d8b6dfbc0ec6d3a8c0e4738962fd0a081002cc41f42225c80e80cae67
PRJ-AIR,PRJ-AIR-SUP-08,SUPPLIER,10,5,0.865,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,acb2d399338cfd4b22f5b2f3cbc3d8abe5bc40f7bb3b3936b0ca6655454f8d97
PRJ-HWY,PRJ-HWY-SUP-01,SUPPLIER,8,2,0.814,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,84ecc4739ed3e65c64aa6f6f363e9003ab4ded08f78acfa0ac1c2ab1b47d4caf
PRJ-HWY,PRJ-HWY-SUP-02,SUPPLIER,10,3,0.834,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e0c17c53a00fadc8c74e762f7ee746cc77d0beb90b2bda1b4b668cd23158e886
