project_id,chain_id,chain_type,activity_id,chain_sequence,feeds_into_activity_id,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A01,1,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,809dbc007bf1d91f8447e7c64603c70703cc0066ac2c127e1bf9708682c0e686
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A03,2,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,96a75f3dc917712092c2e54cb06e0c17e330d4c841493a0cca6c57bdfc1b1259
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A04,3,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9d814d543545d19cba8c72c2ca38460b2c679c79e315b9e9d50d8bd0558e7dc7
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A05,4,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d0387a49a3bf11d3806d3debbc81e7b097c2d82459da2e4dd00034ff9de328ea
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A06,5,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d8b52132dd3883027e897717469cc548e54eedf8da5481e15394f54c1c9729bc
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A08,6,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,27c9cddb4d8de363b89df7349d1510504e9a6a4cda000876ae301b353247d439
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A09,7,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,178bd88413fb616e60a1d628131bf8e5bdde874619c82e7e8207b7c4ef3825ec
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A10,8,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,53656220f0c70df0dc41b7fcfc9958cfc9e9300478c0adf1ff7462ab51794393
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A11,9,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,70b95111a387508b364479267258a41997511a093fd70c2c7e37e564838c52ab
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A12,10,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1f9b58fe47f2aa49c1ba7305a06edeea9084655f5c47dbb51d65ddb97a513925
PRJ-AIR,PRJ-AIR-FC1,FEEDING,PRJ-AIR-A02,1,PRJ-AIR-A08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,89e7fe2d56987928dc1770c2a0f30be6a6edd4ff41fb9628fc5b3c448cd25bc1
PRJ-AIR,PRJ-AIR-FC2,FEEDING,PRJ-AIR-A07,1,PRJ-AIR-A12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,edf4f7f8632a2a48bda027dce1186024c209eb7d9833877c720f71368a7f9a2f
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A01,1,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,23a90ded9ba89a9539f1267f03bed7263dcc1a88760bc54905d2c7c338eea944
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A03,2,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0fe7f53afa5e1c77c9fd5ed8f41a35fa0baa88f100af7e464b334bb72d765622
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A04,3,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d3209113b1d3823a4117cee9b63ff5ca9234669c63296d79a5dde4536f85c8a1
PRJ-DCT,PRJ-DCT-CC,PROJECT,PRJ-DCT-A05,4,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,01338cea4ec13929e928da581b72d24e8bc6ab9bad7871a4d2669cbddff164d0
