project_id,component_kind,component_id,component_name,occurrence_probability,distribution_type,low,most_likely,high,dependency_group,analytic_expected_value_usd,analytic_variance_usd2,expectation_formula,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-01,DESIGN,1.0,TRIANGULAR,88020341.05,92872952.84,101695883.36,CG-1,94196392.416667,8011455600494.111,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a1295701fa88d6d7ddfe548911eff5ccb61cebc003fcae08d55100f574f04c50
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-02,GENERAL_CONDITIONS,1.0,TRIANGULAR,35063644.27,37431165.49,41735749.52,CG-1,38076853.093333,1906988579598.8472,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5bef1d47261f322dfecb8001236ca6d069165c1a5804510b6156080e747fc79a
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-03,CIVIL,1.0,TRIANGULAR,27396036.7,29593342.37,33588443.59,CG-1,30192607.553333,1642635807132.7292,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0b07ba1152210df3efc97e58e6ae00def0b292c9e12aa446e23c13563d7113a3
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-04,STRUCTURE,1.0,TRIANGULAR,24782700.19,27092320.51,31291630.19,CG-2,27722216.963333,1814853265444.4167,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,963f5f2dc403235efff99a40571a83c4e26515f2041642ee0c515865f280d79c
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-05,ENVELOPE,1.0,TRIANGULAR,32109834.64,33880068.21,37098674.69,CG-2,34362859.18,1066157766942.6804,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d7a6232e48719dc169f9b3e95847665b0730da92ce035698ac6f511fda3907ee
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-06,MEP,1.0,TRIANGULAR,24213099.99,25847985.04,28820503.32,CG-2,26293862.783333,909357763803.9584,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b98514cbaf61a4a4fb699a1bdfe0f9c978c11ac57f73686109b22f82796083cf
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-07,SYSTEMS,1.0,TRIANGULAR,74316099.93,80276640.49,91113986.95,CG-3,81902242.456667,12087364733282.334,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fef0e15b98f189dfd446d650e0b7b1f0036c671d0b8913ee7c99027c35860cc3
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-08,PROCUREMENT,1.0,TRIANGULAR,6679906.16,7302439.09,8434317.15,CG-3,7472220.8,131851475374.34724,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2758a4c8f8f4830e464343598d8674a5b470599b037417b09c9761fcb06afe46
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-09,COMMISSIONING,1.0,TRIANGULAR,20769377.05,21914404.7,23996273.15,CG-3,22226684.966667,446058972293.4688,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4de698171d98ae5d4fa4047d72f7edaebb1027cd873662b05ea9726b78af8013
PRJ-AIR,COST_ELEMENT,PRJ-AIR-CE-10,CONTINGENCY,1.0,TRIANGULAR,26967797.18,28788681.27,32099379.61,CG-4,29285286.02,1128041127877.1597,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d6ea0b6ff5bd83cbe25d4c5958e6c36fe331e7bafa0c2adb276de5a7d335a122
