project_id,risk_event_id,risk_name,probability,low_impact_usd,most_likely_impact_usd,high_impact_usd,occurrence_model,impact_distribution_type,impact_parameterisation,dependence_model,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CR-01,DESIGN_GROWTH,0.205,385000.0,770000.0,1540000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,496debcec153f06946f9fba0d4fb77d6678fb7c314bc8a372a14beb8d3989132
PRJ-AIR,PRJ-AIR-CR-02,MARKET_ESCALATION,0.265,770000.0,1540000.0,3080000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f105b1dd79827c4196ea6a6722dc92eaf2363e4d6c0910339ca2876093925db2
PRJ-AIR,PRJ-AIR-CR-03,PRODUCTIVITY,0.325,1155000.0,2310000.0,4620000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1cad5b97e7eb0d072f8d77ec8a5858079d3bdcf3f28e1a3bd3d33a640d4c0982
PRJ-AIR,PRJ-AIR-CR-04,PROCUREMENT,0.145,1540000.0,3080000.0,6160000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,11d0bdde651cbe8408b95da92c0d732daacda9a564bb052de5ae10ea938e09e5
PRJ-AIR,PRJ-AIR-CR-05,WEATHER,0.205,1925000.0,3850000.0,7700000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,81736931ae093736aa9b207aaffb8a1ff7b36e5953a6338823590e008b7b00d9
PRJ-AIR,PRJ-AIR-CR-06,COMMISSIONING,0.265,2310000.0,4620000.0,9240000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,68193750de5690f2a782c9326c712da63645025172b3b1a3124b7bbb97cd4fdb
PRJ-HWY,PRJ-HWY-CR-01,DESIGN_GROWTH,0.19,210000.0,420000.0,840000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0aaa06212ccaa5a05c34234dcb2970da691cbf67f18110618151e1afd65fbe75
PRJ-HWY,PRJ-HWY-CR-02,MARKET_ESCALATION,0.25,420000.0,840000.0,1680000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9f531fcf0adaca5cf766585bd9dfba6fb519d7d13de14ddf0256e7750537ac82
PRJ-HWY,PRJ-HWY-CR-03,PRODUCTIVITY,0.31,630000.0,1260000.0,2520000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,acbdd9bcac34f9bfa5eaf7b78a11022d7bf259a15b687c91dc4885b056a2cb3d
PRJ-HWY,PRJ-HWY-CR-04,PROCUREMENT,0.13,840000.0,1680000.0,3360000.0,BERNOULLI,TRIANGULAR,LOW_MODE_HIGH,INDEPENDENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6a5618dfc6886d3f2daf81c2d7b921a35310d6492adcd77477780f5dc646bc25
