project_id,claim_id,ground_truth_stage_index,ground_truth_escalation_severity,direct_dispute_evidence_present,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,0,0.0231,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8bb1e6c5eea8e953e8a6afb0abef422f8177b92bec2d0d6af836700210de8f58
PRJ-AIR,PRJ-AIR-CLM-02,1,0.208,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,56aa02eedbeba0868864e55332b854df2f283703d387158045c8f2e840d637ef
PRJ-AIR,PRJ-AIR-CLM-03,2,0.3929,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4f620bd38e149f207a8ada0b8c2616482af307e65cd3eac3b7ef523e9215919a
PRJ-AIR,PRJ-AIR-CLM-04,3,0.5778,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,03aa797607e6f1c2ff7a509feba66fd044b7d2d28b15ffcf321b69727532980a
PRJ-AIR,PRJ-AIR-CLM-05,4,0.7627,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ca1a32e11fde1eab6c1d9ab3b60d212671098272d82e6c68e9d70414611f7e16
PRJ-AIR,PRJ-AIR-CLM-06,4,0.7726,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,16113fbd6c4a443f6624f04a6dbadf5aa2f0aeeb765015ba62354a4708fe6a43
PRJ-HWY,PRJ-HWY-CLM-01,0,0.02184,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,813ab2db8392428ecab99a6db5c482fcfc36457cdc6d8af121d34d8e41b84b64
PRJ-HWY,PRJ-HWY-CLM-02,0,0.0312,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,83e15d212ed022e97143f3cdfa4307933fcb12fced72d96fa7276baf052bd2af
PRJ-HWY,PRJ-HWY-CLM-03,1,0.21556,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1d6fabfeb9fe5dc2c2befa27b0d561a2ce54c561257bf72946eb34c23078f405
PRJ-HWY,PRJ-HWY-CLM-04,2,0.39992,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,37708df4555d732d22bc2e135e08ff39bb12491661aedd099d72c9bd6dce5e48
