project_id,period_id,seed_node_id,seed_magnitude,propagation_steps,propagation_rule,cycle_handling,seed_impact_vector,first_order_impact_vector,propagated_impact_vector,cumulative_state_vector,total_first_order_impact,total_propagated_impact_excluding_seed,total_state_including_seed,positive_impacted_node_count_excluding_seed,positive_state_node_count_including_seed,material_impacted_node_count_excluding_seed,material_state_node_count_including_seed,materiality_threshold,seed_included_in_cumulative_state,seed_included_in_propagated_impact,ground_truth_hash,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-DSM-01,1.15,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-AIR-DSM-01"": 1.15, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.28703, ""PRJ-AIR-DSM-03"": 0.253485, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.28703, ""PRJ-AIR-DSM-03"": 0.259147, ""PRJ-AIR-DSM-04"": 0.069891, ""PRJ-AIR-DSM-05"": 0.10161, ""PRJ-AIR-DSM-06"": 0.031593, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 1.15, ""PRJ-AIR-DSM-02"": 0.28703, ""PRJ-AIR-DSM-03"": 0.259147, ""PRJ-AIR-DSM-04"": 0.069891, ""PRJ-AIR-DSM-05"": 0.10161, ""PRJ-AIR-DSM-06"": 0.031593, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",0.540515,0.749271,1.899271,5,6,4,5,0.05,True,False,aa2f441bd640c55c1f992f37471d329781da0920166aad4efbd05eec97268a92,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6eddf7664f65b87db327abee5299cdce81c113583a13ad129369f0de120562ab
PRJ-AIR,P02,PRJ-AIR-DSM-02,1.3,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.3, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.385369, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.025642, ""PRJ-AIR-DSM-04"": 0.00707, ""PRJ-AIR-DSM-05"": 0.385369, ""PRJ-AIR-DSM-06"": 0.143089, ""PRJ-AIR-DSM-07"": 0.053414, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.3, ""PRJ-AIR-DSM-03"": 0.025642, ""PRJ-AIR-DSM-04"": 0.00707, ""PRJ-AIR-DSM-05"": 0.385369, ""PRJ-AIR-DSM-06"": 0.143089, ""PRJ-AIR-DSM-07"": 0.053414, ""PRJ-AIR-DSM-08"": 0.0}",0.385369,0.614585,1.914585,5,6,3,4,0.05,True,False,4dca6939670e9c398409348a9d75a1e1ab22908094f5fbbdad59658a7d78cf81,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dfe3d000db83d150ac5340d1de53b20b51e70adeb4f13d970d18f5eec3f1601b
PRJ-AIR,P03,PRJ-AIR-DSM-03,1.45,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 1.45, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.399797, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.006289, ""PRJ-AIR-DSM-04"": 0.399797, ""PRJ-AIR-DSM-05"": 0.094519, ""PRJ-AIR-DSM-06"": 0.035095, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 1.456289, ""PRJ-AIR-DSM-04"": 0.399797, ""PRJ-AIR-DSM-05"": 0.094519, ""PRJ-AIR-DSM-06"": 0.035095, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",0.399797,0.535701,1.985701,3,4,2,3,0.05,True,False,176f4855684b5ab37c28746d97841ed7b65c225ea7c65bf0d5d694f7319e92c9,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ae02d46ad4a55e37c15b015a1abed6c5eb70880d71014b5bb41efce6bbd9a136
PRJ-AIR,P04,PRJ-AIR-DSM-04,1.6,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 1.6, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.378269, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.02517, ""PRJ-AIR-DSM-04"": 0.00694, ""PRJ-AIR-DSM-05"": 0.378269, ""PRJ-AIR-DSM-06"": 0.140453, ""PRJ-AIR-DSM-07"": 0.05243, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.02517, ""PRJ-AIR-DSM-04"": 1.60694, ""PRJ-AIR-DSM-05"": 0.378269, ""PRJ-AIR-DSM-06"": 0.140453, ""PRJ-AIR-DSM-07"": 0.05243, ""PRJ-AIR-DSM-08"": 0.0}",0.378269,0.603261,2.203261,4,5,3,4,0.05,True,False,816ffce1493c82e2561e0c7bc4369831372975f776df5f1197881fd32f36e41c,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cbded829b55f4185c106e3725921bf35fb8905bd02d8037fbbdffa5d8f55e138
PRJ-AIR,P05,PRJ-AIR-DSM-01,1.75,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-AIR-DSM-01"": 1.75, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.436784, ""PRJ-AIR-DSM-03"": 0.385738, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.436784, ""PRJ-AIR-DSM-03"": 0.394354, ""PRJ-AIR-DSM-04"": 0.106357, ""PRJ-AIR-DSM-05"": 0.154624, ""PRJ-AIR-DSM-06"": 0.048076, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 1.75, ""PRJ-AIR-DSM-02"": 0.436784, ""PRJ-AIR-DSM-03"": 0.394354, ""PRJ-AIR-DSM-04"": 0.106357, ""PRJ-AIR-DSM-05"": 0.154624, ""PRJ-AIR-DSM-06"": 0.048076, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",0.822523,1.140195,2.890195,5,6,4,5,0.05,True,False,61d151ca1ac2316529f8c824ec594fb41804fbebbba495aa98791279f7fbf87d,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a503754c6c69e017ed40cda08900d0baa341ae429a90d40c1ed11414215edbcd
PRJ-AIR,P06,PRJ-AIR-DSM-02,1.9,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.9, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.0, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.0, ""PRJ-AIR-DSM-04"": 0.0, ""PRJ-AIR-DSM-05"": 0.563232, ""PRJ-AIR-DSM-06"": 0.0, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.037477, ""PRJ-AIR-DSM-04"": 0.010333, ""PRJ-AIR-DSM-05"": 0.563232, ""PRJ-AIR-DSM-06"": 0.20913, ""PRJ-AIR-DSM-07"": 0.078067, ""PRJ-AIR-DSM-08"": 0.0}","{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.9, ""PRJ-AIR-DSM-03"": 0.037477, ""PRJ-AIR-DSM-04"": 0.010333, ""PRJ-AIR-DSM-05"": 0.563232, ""PRJ-AIR-DSM-06"": 0.20913, ""PRJ-AIR-DSM-07"": 0.078067, ""PRJ-AIR-DSM-08"": 0.0}",0.563232,0.89824,2.79824,5,6,3,4,0.05,True,False,c8144e2dbb17d942a139ad9bb263966015e14639bc5fabd748a4189c9c7a6c2b,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,74f3743ceae55b97f27c17507c4c88913e46bdfe898d660db491adcaa074dd1f
PRJ-HWY,P01,PRJ-HWY-DSM-01,1.15,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-HWY-DSM-01"": 1.15, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.0, ""PRJ-HWY-DSM-04"": 0.0, ""PRJ-HWY-DSM-05"": 0.0, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.331832, ""PRJ-HWY-DSM-03"": 0.217828, ""PRJ-HWY-DSM-04"": 0.0, ""PRJ-HWY-DSM-05"": 0.0, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.331832, ""PRJ-HWY-DSM-03"": 0.228331, ""PRJ-HWY-DSM-04"": 0.055825, ""PRJ-HWY-DSM-05"": 0.108208, ""PRJ-HWY-DSM-06"": 0.035161, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 1.15, ""PRJ-HWY-DSM-02"": 0.331832, ""PRJ-HWY-DSM-03"": 0.228331, ""PRJ-HWY-DSM-04"": 0.055825, ""PRJ-HWY-DSM-05"": 0.108208, ""PRJ-HWY-DSM-06"": 0.035161, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}",0.549661,0.759358,1.909358,5,6,4,5,0.05,True,False,6edda36eb6cafbefe43a2c441b476da121d6f2c17fe761a569aff9bb171366a8,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,45fa5d8faf74be305d487a471f43595f32d5ccfe33694b95a5091fc20c4baa07
PRJ-HWY,P02,PRJ-HWY-DSM-02,1.3,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 1.3, ""PRJ-HWY-DSM-03"": 0.0, ""PRJ-HWY-DSM-04"": 0.0, ""PRJ-HWY-DSM-05"": 0.0, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.0, ""PRJ-HWY-DSM-04"": 0.0, ""PRJ-HWY-DSM-05"": 0.366774, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.041145, ""PRJ-HWY-DSM-04"": 0.010545, ""PRJ-HWY-DSM-05"": 0.366774, ""PRJ-HWY-DSM-06"": 0.13775, ""PRJ-HWY-DSM-07"": 0.057055, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 1.3, ""PRJ-HWY-DSM-03"": 0.041145, ""PRJ-HWY-DSM-04"": 0.010545, ""PRJ-HWY-DSM-05"": 0.366774, ""PRJ-HWY-DSM-06"": 0.13775, ""PRJ-HWY-DSM-07"": 0.057055, ""PRJ-HWY-DSM-08"": 0.0}",0.366774,0.613269,1.913269,5,6,3,4,0.05,True,False,f942c3358ca818efcb05006d2abf1b5f9d85b5df120e331f55e63bc547c81c46,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a3c5c342cc2f927e3e9ecaba4046840b12395aa4106407882f205e98c5243949
PRJ-HWY,P03,PRJ-HWY-DSM-03,1.45,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 1.45, ""PRJ-HWY-DSM-04"": 0.0, ""PRJ-HWY-DSM-05"": 0.0, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.0, ""PRJ-HWY-DSM-04"": 0.371607, ""PRJ-HWY-DSM-05"": 0.0, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.010892, ""PRJ-HWY-DSM-04"": 0.371607, ""PRJ-HWY-DSM-05"": 0.097097, ""PRJ-HWY-DSM-06"": 0.036467, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 1.460892, ""PRJ-HWY-DSM-04"": 0.371607, ""PRJ-HWY-DSM-05"": 0.097097, ""PRJ-HWY-DSM-06"": 0.036467, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}",0.371607,0.516063,1.966063,3,4,2,3,0.05,True,False,1f719a5194369545606e36827e8ce4772ec30a424e85e95a396a5453aad113e2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8148fb3bead21fba51b763701c8d45e1bad765a460575512cb7378cdf804a4e2
PRJ-HWY,P04,PRJ-HWY-DSM-04,1.6,3,step_k = matrix @ step_(k-1); step_0 = seed vector,FIXED_DEPTH_TRUNCATION_NOT_CONVERGENCE,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.0, ""PRJ-HWY-DSM-04"": 1.6, ""PRJ-HWY-DSM-05"": 0.0, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.0, ""PRJ-HWY-DSM-04"": 0.0, ""PRJ-HWY-DSM-05"": 0.418061, ""PRJ-HWY-DSM-06"": 0.0, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.046898, ""PRJ-HWY-DSM-04"": 0.012019, ""PRJ-HWY-DSM-05"": 0.418061, ""PRJ-HWY-DSM-06"": 0.157012, ""PRJ-HWY-DSM-07"": 0.065033, ""PRJ-HWY-DSM-08"": 0.0}","{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.046898, ""PRJ-HWY-DSM-04"": 1.612019, ""PRJ-HWY-DSM-05"": 0.418061, ""PRJ-HWY-DSM-06"": 0.157012, ""PRJ-HWY-DSM-07"": 0.065033, ""PRJ-HWY-DSM-08"": 0.0}",0.418061,0.699023,2.299023,4,5,3,4,0.05,True,False,8350c0ccd1818f3ac2b4fd28e4c0cf8466b91d302e58ae2aa51dcbc656b21798,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2cda0bcffb3ff0c55970c726f6547ee115bbf24949ca77eda4217ae7b8668b6a
