case_id,source_node_id,target_node_id,dependency_type,dependency_strength,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DSMKA-01,N1,N2,REWORK_PROPAGATION,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,277053c83312127caed8c6a15ee44a27222cef84cd77ef340e661d4f700a3a63
DSMKA-02,N1,N2,REWORK_PROPAGATION,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f199287b590614f888516708694f80d5094f2fe4b83903c44ddccf289d9194d9
DSMKA-02,N1,N3,REWORK_PROPAGATION,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,33a95b57486bd1917ecef07a33a481af7102bcf5827de30664e6b10a80181f94
DSMKA-03,N1,N2,REWORK_PROPAGATION,0.4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,de77f71535915bef0e659760ea59fda5f49ce4154c414fb992d6bb4000c096b9
DSMKA-04,N1,N2,REWORK_PROPAGATION,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ca3105d6fecb1e8020dcd411a1e7f59ed43642a0312a83ba5eea4b2173d65d18
DSMKA-04,N2,N3,REWORK_PROPAGATION,0.4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,92c23be02d6bd00713297f6e4db3d3450370c87d85ecc8b80010cd7c4e8cc6cf
DSMKA-05,N1,N2,REWORK_PROPAGATION,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,affb6309fff45605c86d1d3628dd8713620d3c68dfc192ae8f853947726985b0
DSMKA-05,N1,N3,REWORK_PROPAGATION,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,190bd4d9b76ab0555c5c442abcf8d986931c612a64e3dd1eacb9e7de5c93f870
DSMKA-05,N2,N4,REWORK_PROPAGATION,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4a8f3f10fcef82e74d39659cbb4d73af1de633fd676c4f64acacfa71d0c96a89
DSMKA-05,N3,N4,REWORK_PROPAGATION,0.4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5f190ad0d031cb72bea738d5fb3b9bf14f08b63488e1849bba3191a2d413f074
DSMKA-06,N1,N2,REWORK_PROPAGATION,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fdc47932fd48488c49f85dd8850cfecf988308a30c863cdda3a82cffb73bedb7
DSMKA-07,N1,N2,REWORK_PROPAGATION,0.05,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0170a8b738d73f501e0bf519ebad685b1c907d3729a41c664afa270517031c58
DSMKA-07,N1,N3,REWORK_PROPAGATION,0.06,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1b44e0df6fd5ae6f2943828cd2d23f7ae2862f831eb785324a38f9360de77056
DSMKA-08,N1,N2,REWORK_PROPAGATION,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a9e2bc2a6c1bc884f5122f5836aea25e2b63f9e13a5d586c36b7a212af75c6bc
DSMKA-08,N2,N1,REWORK_PROPAGATION,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,92dd3a2a1bf7864a46a73c615c3e4114f5e9d82c207c33fb61048ed498e7b8a1
