case_id,node_id,node_name,node_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DSMKA-01,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,785f8edaf7038e5ca6b16cbc69e473b6192268d598f97e15d8feab2fc0fa744a
DSMKA-01,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5a80f4ded9faa6378a9f0b06262f52c7b4a2d5a623a18a1658823f1d4ede95d3
DSMKA-02,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,195cb03042ae284663b9087c25c0bd91ce5182f15f02ce0ebd221b6b5a9a07be
DSMKA-02,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,513cc55417df882785183ca879a32b4efb7d0e6187716205462973ed1c6de19c
DSMKA-02,N3,N3,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2be52e2ee52166dbd9359d86e4f9183e178456529e96b72faac54453a620b814
DSMKA-03,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ef77e9d363a6ec3238d64359b0990df84eeafd13c857764461ec574fb696307e
DSMKA-03,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9375fdb0e4f3359f062b8f923144d4d5fb8b840905cd49b0d2547155474f2f5a
DSMKA-03,N3,N3,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,54ae80a2f3e76476254e514345d92449493a6662888f1b710af9222c436381cc
DSMKA-04,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d3532684b71ef25742bfca9a6eb171352b6d2e8f371ab4d43c0120a6df0fbdd1
DSMKA-04,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4c6d0755be5219c33957de7c6cfc8cdd2797083885121a5772ab8d0bc669507d
DSMKA-04,N3,N3,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c26f9628c682b70a520751ebf7b2650eb55d22528f17664f90ed9247add8ff1
DSMKA-05,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3f49744e7f819047d0483a7103b7e65a487b501a42a945119add247bebe75379
DSMKA-05,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,31551067698c742f24fee6c6c1b3beb735ad753417eb10b2685f72f4d8f80a3c
DSMKA-05,N3,N3,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3f4e6bef3c34e873c8ccdaccdb8e52713a437de3b98e66d33e7506f0407101e1
DSMKA-05,N4,N4,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,382a74e568da86803cce9ef4ebe581cbfa0f191511ad44e3cf14e38a9aed29f2
DSMKA-06,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ef07593920cd987d946f9b6c5e5b38a61deb65aa320ca674b35347fb7b8e1be4
DSMKA-06,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ae0b5ab4f360c89bc479d47e7554ff524c4498858cbf656189d6649282c967d8
DSMKA-07,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4a6f5c83ce92707937bcc88fc5084099ddbfaeb0a6b8597c72a8152f84224476
DSMKA-07,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1fc435933fb4adc4809f04148e7252c88d26ca1a64bc1032b67957f037e2e2e2
DSMKA-07,N3,N3,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4dae9ec7cc4c212bbeaaacd4aef1597aa0da43d4c7520c828328392fa3ac8d2d
DSMKA-08,N1,N1,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,869654e8364b01b409fa94d13e60572789b879b7fd60dbdfeb1fec4e5637730e
DSMKA-08,N2,N2,KNOWN_ANSWER_NODE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2e948416f701f7d2a0cbcab68b224dccb3f11201d785d2191c94119ec3f4e2cb
