project_id,period_id,applicable_requirements,applicable_requirements_assessed,compliant_requirements,noncompliant_requirements,unassessed_requirements,environmental_compliance_rate,severe_noncompliances,overdue_corrective_actions,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,7,7,6,1,0,0.85714286,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6e96c50b958bd384fec620e6f848d3757d5b025909e35eb914a62d313b1dfc0a
PRJ-AIR,P02,7,6,5,1,1,0.83333333,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,40165b058f39f2e74a1d9e5459f6f9acb9c439dd3f00d997b7d47d8751f4388c
PRJ-AIR,P03,7,7,7,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7210a06c6f3fdf3ce953c35703c6914e43208eea6a0a72cf43f1d52b53564848
PRJ-AIR,P04,7,7,5,2,0,0.71428571,2,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,103d9f832ea17e0276f8e10df539e24d60f8fafa5b8618ea75fb80b42ce66aa1
PRJ-AIR,P05,7,7,6,1,0,0.85714286,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7802646c75a3368792d24ce82889055f0ec7426fa9c8778baa5773b066497ce2
PRJ-AIR,P06,7,7,7,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,14eae356d8d045c8e16bdaafd641469ddfa96f6cb6edf3fe835020a306fb62a6
PRJ-DCT,P01,7,6,5,1,1,0.83333333,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,677864c15b05c77831390ffbbbcbc3221ca89ea260f3b8c03162e145b2a198de
PRJ-DCT,P02,7,7,5,2,0,0.71428571,2,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,274cdf96f81735340f872e469c5f39579d6459097c63f62a9449e69d892b6c7e
PRJ-DCT,P03,7,7,7,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,06e3b45cbc4dcfdc597be0e1b6911ab6c61502adacca915963549357a8c28d2d
PRJ-DCT,P04,7,7,5,2,0,0.71428571,1,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,752f82393d5b4aa9121718f9e7af49f662bfc218d9766bc6824c1d724315316a
PRJ-DCT,P05,7,7,6,1,0,0.85714286,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f6e07485d818e56c5ebb568ba8f83ad0e3ac2112af3853879fd8f90b92833a8b
PRJ-DCT,P06,7,7,6,1,0,0.85714286,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4caf3e1837628fc1e790162f65b5feb37870aed77be9b624eb1d320c931a495a
PRJ-HSP,P01,8,8,5,3,0,0.625,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,25b21f24a4d840e766d470f9fc87569552dbc197ff2269b35dbf500a067f289a
PRJ-HSP,P02,8,8,7,1,0,0.875,1,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a489966232970b41fb36cfa20b4c73cccfe21767359d040112ef5f98ba60bbbc
PRJ-HSP,P03,8,8,8,0,0,1.0,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a15af3e44317f0e41e4c79c139957d0aaa15b55a3fcacaee323c3c5fe5cb2780
PRJ-HSP,P04,8,8,5,3,0,0.625,1,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4d66c780426644cffa42881344fcc13867f636e180b0511e37b877c08a2bc529
PRJ-HSP,P05,8,8,8,0,0,1.0,0,6,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,05386b050e38c1881df04f5aaa464499ef223f65df76ad1e13801b8da8c88ed0
PRJ-HSP,P06,8,8,8,0,0,1.0,0,6,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,efce0279d43d717024ad3798cf2f341adf6b67ec71dea54bb060d342ee1d7288
PRJ-HWY,P01,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,35247cb3188479f1d39e0a807f8a9394552233d445a1d59aea23304b131c5e1d
PRJ-HWY,P02,8,7,6,1,1,0.85714286,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ec2464f4cbc36b7d01fb3a0a287eebf017e8684a7cd1aae0d2b50245c8a8187d
PRJ-HWY,P03,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,177271c1f335c3d8520ec6cd9c20e96d5172e6a1cfc3a51512cde1bdcba2e9ec
PRJ-HWY,P04,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,16a9ce9af1612b1c38c9c0bd3cdaf890a272efc54d46ec8e51666a1901afea0d
PRJ-HWY,P05,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,232e4183ac75477e25c47d846a101b974ebe4e6ee2be416bc1d5ad20c26383d7
PRJ-HWY,P06,8,8,6,2,0,0.75,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,07668432faa573aa59c8b06ce455a82349bfbdc594a6b2f0aa34cfa4966e043e
PRJ-RAL,P01,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fbf42f2c9970da982bb2ccb84200f74bd6fde46150ac0a32dfe471ca8ee715b5
PRJ-RAL,P02,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e7614d744551ca619b883694f0f094da04f08aee2b6ef99f450784697c015c3d
PRJ-RAL,P03,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b47e85f7a53c4993a5f1ad7d181cb41f7ad3d1946d13837a173fcdcf48333369
PRJ-RAL,P04,8,8,8,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8e50a08d80d64af943ca1ab71c313122de2be5ba666390572edb7eb834156bc4
PRJ-RAL,P05,8,8,6,2,0,0.75,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b9669fec8487508b8c7ed08070497ced3c625c0d015e45da01dfb35cb2cfde11
PRJ-RAL,P06,8,8,8,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a4b1053e4a12185053c35731cef9f5b63fac0457eed24d3429c88c77d1713450
PRJ-WTR,P01,8,7,7,0,1,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fd7abc35adf764a5481c6fa0e3cbf25c1df4d025971adaf71caf3c07cd276800
PRJ-WTR,P02,8,7,6,1,1,0.85714286,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c86838793eef6a732958771cc70513153d3f4180451772cbee7359febd7c77c2
PRJ-WTR,P03,8,7,7,0,1,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4ef6c9041194e4c270e8d53866dec7c8cdfecbb645be7f2c5add5cf5a19ac40f
PRJ-WTR,P04,8,8,6,2,0,0.75,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fe7019b79820c0c4150c461400b4a4e3744023287c263231eed1542247451a5a
PRJ-WTR,P05,8,8,8,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bf1914c092c2d917321299882b5b54998149e6839ac9c759559315c4d83e18e8
