project_id,period_id,violation_id,assessment_id,requirement_id,severity,identified_date,corrective_due_date,corrective_close_date,status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-ENV-08-P01-V,PRJ-AIR-ENV-08-P01,PRJ-AIR-ENV-08,CRITICAL,2026-02-27,2026-03-13,2026-03-06,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3f89e3844c8417e5e80e21955441c8b5793bcbac90b2013918b81850c4a19541
PRJ-AIR,P02,PRJ-AIR-ENV-03-P02-V,PRJ-AIR-ENV-03-P02,PRJ-AIR-ENV-03,MEDIUM,2026-04-27,2026-05-27,2026-05-25,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,72a870f342b04157c5e6496de745bd6203a4d8b1fb89dfb300a6102682225807
PRJ-AIR,P04,PRJ-AIR-ENV-01-P04-V,PRJ-AIR-ENV-01-P04,PRJ-AIR-ENV-01,HIGH,2026-08-22,2026-09-21,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0637dcdcb14129dea8f5ce7f8f9f3c27521864b8e82faba36c6bf48a204fa7d5
PRJ-AIR,P04,PRJ-AIR-ENV-02-P04-V,PRJ-AIR-ENV-02-P04,PRJ-AIR-ENV-02,HIGH,2026-08-22,2026-09-21,2026-09-12,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9e1d39034231b6246c05f5c6d210f985c4deb0d1881e3787c639b9e3a7d8c6fc
PRJ-AIR,P05,PRJ-AIR-ENV-05-P05-V,PRJ-AIR-ENV-05-P05,PRJ-AIR-ENV-05,LOW,2026-10-19,2026-11-18,2026-11-11,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,08ee85615beb8ea15a4c137eb640174478244b517fcde31c19788785b58a793a
PRJ-DCT,P01,PRJ-DCT-ENV-08-P01-V,PRJ-DCT-ENV-08-P01,PRJ-DCT-ENV-08,CRITICAL,2026-05-29,2026-06-12,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2cdaa681d0b62856d0d4bfa2eea1cc13d9b199abeb293bfcd8e9d9412f10d923
PRJ-DCT,P02,PRJ-DCT-ENV-01-P02-V,PRJ-DCT-ENV-01-P02,PRJ-DCT-ENV-01,HIGH,2026-07-13,2026-08-12,2026-07-16,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b9559e1869871e0e218aad7ab11617d1c84dcbed60504cae905549fe27469042
PRJ-DCT,P02,PRJ-DCT-ENV-06-P02-V,PRJ-DCT-ENV-06-P02,PRJ-DCT-ENV-06,CRITICAL,2026-07-13,2026-07-27,2026-08-05,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,27af8cb0efcf9d60022087ecde2d6b7697c698178185fb2d6f67733785177c3a
PRJ-DCT,P04,PRJ-DCT-ENV-02-P04-V,PRJ-DCT-ENV-02-P04,PRJ-DCT-ENV-02,HIGH,2026-10-10,2026-11-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aaf5ae5c9e7b02bf2ff1d9f5ec9baf139a1fb85eece905cc9cab0c379f000e02
PRJ-DCT,P04,PRJ-DCT-ENV-04-P04-V,PRJ-DCT-ENV-04-P04,PRJ-DCT-ENV-04,MEDIUM,2026-10-10,2026-11-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6a7d8b5e181c24811d868f0fa1f10ab76cd71934447956bbe2b4d2e2577c5d9c
