project_id,monte_carlo_iterations,simulation_seed,rng_implementation,analytic_expected_total_cost_usd,simulated_mean_total_cost_usd,simulated_sd_total_cost_usd,simulated_standard_error_usd,absolute_mean_error_usd,relative_mean_error,mean_error_in_standard_errors,acceptance_z,within_acceptance,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,1000,2222566139,numpy.random.Generator(PCG64),396137551.233333,396098079.184144,7696457.791521,243383.365366,39472.049189,9.9642e-05,0.162181,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8d136b636392aa548a0f4aec240c7e56cd0012fa7585b5896399943b9a3eefe3
PRJ-AIR,5000,2223656788,numpy.random.Generator(PCG64),396137551.233333,396178469.031548,7554494.44333,106836.684986,40917.798214,0.000103292,0.382994,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5a66d50f99e1696c8c2aff5eefccacf3572b09818f898bfa521b8f72dd21c0e3
PRJ-AIR,20000,639060462,numpy.random.Generator(PCG64),396137551.233333,396069759.592896,7594954.899759,53704.441124,67791.640437,0.000171132,1.26231,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8e05e37dfffa1f3a2a6066ce655460009cc567ee2e057019ef049ea9ec032f76
PRJ-HWY,1000,3880015346,numpy.random.Generator(PCG64),215723904.983333,215699140.91162,3979555.068792,125844.580915,24764.071713,0.000114795,0.196783,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6cbc4b730d3ab33f57f97447c6d3763ef601c86326b8e4f8081192533971acab
PRJ-HWY,5000,3850710933,numpy.random.Generator(PCG64),215723904.983333,215767701.377618,3973019.840452,56186.985419,43796.394285,0.000203021,0.779476,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f8affe189cb783db69d9abaa9abe2d948eba2d6f69d6703bafbf0fb3aeb3c24a
PRJ-HWY,20000,352575531,numpy.random.Generator(PCG64),215723904.983333,215739815.925898,3936937.059368,27838.348918,15910.942564,7.3756e-05,0.571548,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c6d28aa857e8704e11fe2529ea5337f8ea1072579ad37d12bc76984a98c3dd17
PRJ-HSP,1000,3627901614,numpy.random.Generator(PCG64),473875377.726667,473542995.034791,9539576.929896,301667.910129,332382.691876,0.000701414,1.101817,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c67c2e8114493a1228c07320ae4bf79e2cdcf166b0244ef94ecfd546a2232aa4
PRJ-HSP,5000,3559922975,numpy.random.Generator(PCG64),473875377.726667,473799159.740186,9500297.021516,134354.488944,76217.98648,0.00016084,0.56729,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,610eac0eb65f5f6de2a406ad0f5cc015a616b02ac448bd81912466bf2abb536f
PRJ-HSP,20000,726687911,numpy.random.Generator(PCG64),473875377.726667,473885529.06213,9649956.584185,68235.497388,10151.335464,2.1422e-05,0.148769,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a4fafbc50abd9930c24e5bce01dc68785645b380c042219675191b07c312c665
PRJ-WTR,1000,3990730190,numpy.random.Generator(PCG64),179604414.956667,179670025.463506,3347929.522388,105870.827365,65610.50684,0.000365306,0.619722,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,feb563df960ce0c01f1abf183cca589f37b325bdeaac8dcb5d06c68102c18300
PRJ-WTR,5000,3788803026,numpy.random.Generator(PCG64),179604414.956667,179631373.416595,3276371.672151,46334.892541,26958.459929,0.000150099,0.581818,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,773855fa1f598e6c91a21f5bdbb3f4f94b66bebf734263936c282e631485033a
PRJ-WTR,20000,1469981430,numpy.random.Generator(PCG64),179604414.956667,179633749.841206,3311435.251177,23415.383216,29334.884539,0.000163331,1.252804,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5ce6ca37cd3d16b0b634a6f8d8f497e154600f48a21c678a8e8377600deb26cf
PRJ-RAL,1000,3361896263,numpy.random.Generator(PCG64),298816380.343333,298914957.229141,6281652.993183,198643.309293,98576.885807,0.000329891,0.496251,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0ea4400ae459003029dd0afa91acef05c482ceda38542b5d673034c4d701b0e6
PRJ-RAL,5000,2623685458,numpy.random.Generator(PCG64),298816380.343333,298903232.519677,6365007.352959,90014.797232,86852.176343,0.000290654,0.964866,3.290526731491896,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,29e6d72f9ca1e376f7a78e29804a6a400a20db118e7144512188755775dafad5
