project_id,ncr_id,source_audit_id,issue_period_id,issue_date,due_date,close_date,severity,description_code,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-NCR-001,PRJ-AIR-P02-QA,P02,2026-04-21,2026-05-12,2026-04-27,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5b31c659711a9bab1969ed98064377d4c4d5b0d65a9c2dd906b168f717dd508a
PRJ-AIR,PRJ-AIR-NCR-002,PRJ-AIR-P03-QA,P03,2026-06-22,2026-07-13,2026-06-24,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a6d180dd1e0bbef48fc03c30444fecf419882f860eab898ce4ac70a01302cb1c
PRJ-AIR,PRJ-AIR-NCR-003,PRJ-AIR-P05-QA,P05,2026-10-05,2026-10-26,,MINOR,MATERIAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5583e618429bf1d1a60316acbecf9a5e33814cf85f206305013661bfb7ab57d4
PRJ-AIR,PRJ-AIR-NCR-004,PRJ-AIR-P06-QA,P06,2026-12-08,2026-12-29,2026-12-17,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1d487079a84150bd1c93a99d01fbca822cc81f1a94a70ac6cf258c51fb600423
PRJ-AIR,PRJ-AIR-NCR-005,PRJ-AIR-P06-QA,P06,2026-12-02,2026-12-23,,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,62edafc1604ae7c301677ae19830ea17df653eedf7d933200faf922114e4b0e5
PRJ-AIR,PRJ-AIR-NCR-006,PRJ-AIR-P06-QA,P06,2026-12-15,2027-01-05,2026-12-17,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9b5948bb1d178d6d411d0ad051c0de64d6c8d5b25714f544b57bc1053095d522
PRJ-DCT,PRJ-DCT-NCR-001,PRJ-DCT-P01-QA,P01,2026-05-16,2026-06-06,2026-06-03,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b824af7ec4809a6da2c6c9d91e9e74413d2bb5e4f5ceb18a029d2ee0fbdbb2b1
PRJ-DCT,PRJ-DCT-NCR-002,PRJ-DCT-P03-QA,P03,2026-08-10,2026-08-31,2026-08-20,MINOR,WORKMANSHIP,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e50dd8d404be0d55a4eab215d398d939e0fb0fc4aefd268778d2fee463255f2c
PRJ-DCT,PRJ-DCT-NCR-003,PRJ-DCT-P03-QA,P03,2026-08-20,2026-09-10,2026-08-26,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,93a3463e1212f5186a89462fe337414e3436026566aa2d77ac71fa757136f80d
PRJ-DCT,PRJ-DCT-NCR-004,PRJ-DCT-P04-QA,P04,2026-09-27,2026-10-18,2026-10-23,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5192f303e43852ff797b60f237156931c62df934485fdc165dbfe4609458c0eb
