project_id,period_id,audit_id,audit_date,inspections_completed,work_packages_audited,total_findings,critical_findings,new_ncr_count,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-P01-QA,2026-02-27,25,8,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,14daede4a725a9c3a227335178ea7954cd2b234c5c134788acc017aa2905e831
PRJ-AIR,P02,PRJ-AIR-P02-QA,2026-04-27,28,9,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0818de18cd070f9fd05da2fceb7a2e968b3eb96c3cf576009b0c4897eb559b34
PRJ-AIR,P03,PRJ-AIR-P03-QA,2026-06-24,27,9,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2dab383211d985e5fc50a240193252b0708c47f8c6a49273e75661377c0083c3
PRJ-AIR,P04,PRJ-AIR-P04-QA,2026-08-22,30,10,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a21bf1e4ebbd8371d2c720658845a084e2e1a0ed55437eefad920c7ebcb3abcb
PRJ-AIR,P05,PRJ-AIR-P05-QA,2026-10-19,33,11,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,92034408802a4fd237f09b6eb09a41192d0827b4158555bf39031a5e5ff0d059
PRJ-AIR,P06,PRJ-AIR-P06-QA,2026-12-17,37,12,5,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,23c826b38f41b600d52206029852da22655f7db3d32b6c8952d8da47ba7b0ff1
PRJ-DCT,P01,PRJ-DCT-P01-QA,2026-05-29,23,7,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,519bcd6c785ec711bb2a36f9aca5decc27084c0d8177dbacb771617cfc4fe251
PRJ-DCT,P02,PRJ-DCT-P02-QA,2026-07-13,25,8,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bf24eb8f144d8685532943e5883fe60a5296bf254a60b21e2a42880f5bed8e44
PRJ-DCT,P03,PRJ-DCT-P03-QA,2026-08-26,28,9,2,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,56b4b4b61a3c9e92c9c5a278badc7eb48086d8bd9467c6a8a93edca92ccf56eb
PRJ-DCT,P04,PRJ-DCT-P04-QA,2026-10-10,31,10,6,0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,03bd220723862954f94a8b874e40b0d70aaf50c8a9f9ec8c1731ed97f423a344
PRJ-DCT,P05,PRJ-DCT-P05-QA,2026-11-23,35,11,4,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c07c20e5ce27f521c78b7e7a670fbccceaaae08020fdb5a50cdf9c0c30e80f3e
PRJ-DCT,P06,PRJ-DCT-P06-QA,2027-01-07,39,13,2,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f6aa80e2204ebd435a99ccb894f974c9a88f86ad094fbf67137bb13ddaf9d951
PRJ-HSP,P01,PRJ-HSP-P01-QA,2026-04-09,25,8,2,1,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b770c10c04625daf4469a6331c91708512e2a9366b94fe25fc3ca0782a824886
PRJ-HSP,P02,PRJ-HSP-P02-QA,2026-06-05,26,8,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1cbe8ae793c6cf34a58dfd461af2fcbb037cea531fc47b7abf8abc5835fbf8f2
PRJ-HSP,P03,PRJ-HSP-P03-QA,2026-08-01,28,9,0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2120fd2c125aec234a3da7425a2d28331faf51a631b900be54f474cc99662707
PRJ-HSP,P04,PRJ-HSP-P04-QA,2026-09-27,31,10,3,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1cd4cf868651605f56feade8bb6078b16352953e1a16dd2bb15c7d0bdc1d24f1
PRJ-HSP,P05,PRJ-HSP-P05-QA,2026-11-23,35,11,6,2,4,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b71bf9526822ca760d8634f038873b0729346befe8b9b4d4f9da7f10defe5a4c
PRJ-HSP,P06,PRJ-HSP-P06-QA,2027-01-20,40,13,5,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b6338cbcd504b4f35e03507967934fbaba5a0648bb373e3c68d4c167e183eb30
