project_id,queue_id,entity_id,arrival_time_day,service_start_day,service_end_day,service_duration_days,wait_time_days,server_id,queue_discipline,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-001,10.013349,10.013349,12.546737,2.533388,0.0,REVIEWER-1,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,663ca8f15429faaa27529d28aa33980247384ca9df2ae3b59313478cf9958b68
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-002,14.26824,14.26824,16.045472,1.777232,0.0,REVIEWER-2,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b38db08ccf5712166f87e2f99f275dde70bfb1cf22794802a856dc50f60026df
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-003,15.349798,15.349798,20.757333,5.407535,0.0,REVIEWER-1,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,13d09f85afdb1936f611bac16140260b61911753e8baadd7a7b19b24dad5d736
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-004,17.075566,17.075566,20.141962,3.066396,0.0,REVIEWER-2,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0df326da5f214575929458403e336d5fedfa2721d9321790660dd5e42a24c101
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-005,17.477634,20.141962,25.993075,5.851113,2.664328,REVIEWER-2,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,580e85e0797008e460fedebbcc8af718d649eac999b2b51f3561478cf842420e
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-006,21.503042,21.503042,24.253819,2.750776,0.0,REVIEWER-1,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,371a178e0c1baba8d66b310ec60c9104a4e388699482ff439ca5384841bccb60
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-007,26.411053,26.411053,28.053612,1.642558,0.0,REVIEWER-1,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d4ae87a986a10f76000077bac59e7b3790e1d0a4980f64163f07f471bf23f25d
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-008,31.269678,31.269678,33.864548,2.594871,0.0,REVIEWER-2,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,04d88e8a2c8ccc725f3578bb9b291e798082a1a072df214e094782d580c6c8ab
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-009,33.056401,33.056401,35.212007,2.155607,0.0,REVIEWER-1,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eb963e2719b7695da740cb2af59f6ad654a9405217e813a11403eab75b70da69
PRJ-AIR,PRJ-AIR-RFI-REVIEW,PRJ-AIR-RFI-010,33.974419,33.974419,35.707361,1.732942,0.0,REVIEWER-2,FCFS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f351e1abec29ae1924b224667a03b6304a3085d72172fd5eddd073cf0d1bce48
