project_id,period_id,period_number,period_start,period_end,status_date,status_day,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,1,2026-01-01,2026-02-27,2026-02-20,50,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b95153882418bc7dc27c7b6725764fd9b8c93575670d434740c1c60f85f82605
PRJ-AIR,P02,2,2026-02-28,2026-04-27,2026-04-11,100,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bdcdf388b3d8dae82d10ec601157019b00ee931ba6089981dba857e5fe19748f
PRJ-AIR,P03,3,2026-04-28,2026-06-24,2026-05-31,150,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b92f013557eee635d2d3e78e6795b692528b7e2e347081f92524d5b83a0e0a33
PRJ-AIR,P04,4,2026-06-25,2026-08-22,2026-07-21,201,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8ebf2839065bacbbf407e147b75eb095473c2ebf8dc94c4f1b0b52458f191804
PRJ-AIR,P05,5,2026-08-23,2026-10-19,2026-09-09,251,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bd5940131db9d4529e8a2c6f6099bc87ec7034faf6ac87ed534c37ee3659e9ae
PRJ-AIR,P06,6,2026-10-20,2026-12-17,2026-10-29,301,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,02b8328a44d973f7a9d7d5b83c188a5657809a1b9b2d360c1ffc2172119b146f
PRJ-HWY,P01,1,2026-01-22,2026-03-13,2026-03-07,44,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3f29280c0ad0bcdbbfbeae76cb6c92b565823b6c1ab342386be0740fe4920004
PRJ-HWY,P02,2,2026-03-14,2026-05-03,2026-04-20,88,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4d58b100570a91d4bf07a8f0e3a1115c640bffbe9f7d8108e168b6be9cf00494
PRJ-HWY,P03,3,2026-05-04,2026-06-23,2026-06-03,132,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b524551542f09a5925d7b02d8f00e467325dcb5ea72e157311fc34d808e37a69
PRJ-HWY,P04,4,2026-06-24,2026-08-13,2026-07-16,175,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bbc2d83de2ed5654b8c29ac8884848cfd34212a7b93ad82b95d88672cd173e78
PRJ-HWY,P05,5,2026-08-14,2026-10-03,2026-08-29,219,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,15bb6b32325046840e7b4f08aaf0df63f49ced2ca2291277a3005d81c02f9c78
PRJ-HWY,P06,6,2026-10-04,2026-11-24,2026-10-12,263,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2d5855ec728c07b8ffa9157a2cd16424c3cb5bf0586211b01de6607536766298
PRJ-HSP,P01,1,2026-02-12,2026-04-09,2026-04-02,49,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7ebb115e57770f4cebf823d326310a681263639065711893be7012c13ab6af31
PRJ-HSP,P02,2,2026-04-10,2026-06-05,2026-05-21,98,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8c36fa0ff19ef360134ba175cf6d8a2a729e9f94d3e1eafeca49dd01a1697251
PRJ-HSP,P03,3,2026-06-06,2026-08-01,2026-07-09,147,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b755d3247319f557e098c01f9bcfa7170657b14c22797404fe9fa23c67be19f3
PRJ-HSP,P04,4,2026-08-02,2026-09-27,2026-08-27,196,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2fc4a9d2635d436f2196552a73f8a8309d58175628b1407990e97fbb5d2986f0
