project_id,activity_id,activity_name,wbs_id,activity_type,baseline_duration_days,optimistic_duration_days,most_likely_duration_days,pessimistic_duration_days,calendar_id,resource_group,location_id,critical_chain_flag,ccpm_chain_id,ccpm_chain_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-A01,Notice to Proceed,PRJ-AIR-WBS-01,MILESTONE,5.4,4.324,5.4,6.996,CAL-5D,DESIGN,LOC-01,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2e8c52fde1b3c1176fd6ba08192655d3c8860f0cbea29e043807e1365cf6948a
PRJ-AIR,PRJ-AIR-A02,Design Release,PRJ-AIR-WBS-02,TASK,22.5,18.999,22.5,30.68,CAL-5D,DESIGN,LOC-02,False,PRJ-AIR-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,068863b446313e43c966cf5d67e3b1d02dd9cf00dbc1431232a44f9d937b7589
PRJ-AIR,PRJ-AIR-A03,Long-Lead Procurement,PRJ-AIR-WBS-03,TASK,37.8,29.22,37.8,48.696,CAL-5D,PROCUREMENT,LOC-03,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,38e89d6b4e6c6d00f487b82a7d5809051fea76af2196e5d5542b3110e531353c
PRJ-AIR,PRJ-AIR-A04,Enabling Works,PRJ-AIR-WBS-04,TASK,21.3,16.166,21.3,26.601,CAL-5D,PROCUREMENT,LOC-04,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cde8f2198c19f25e2126f5fe58fe7c8c81bfe0f111ef6b7c5cd89ffe44dc2b0a
PRJ-AIR,PRJ-AIR-A05,Foundations,PRJ-AIR-WBS-05,TASK,33.5,25.938,33.5,43.157,CAL-5D,CIVIL,LOC-05,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,be883030869f866957026b628617a9858054e5c43fc6248d887eb80bb3716b67
PRJ-AIR,PRJ-AIR-A06,Structural Frame,PRJ-AIR-WBS-06,TASK,48.3,38.473,48.3,62.086,CAL-5D,CIVIL,LOC-06,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8a13d7cdb173cdaaf63a6b01d88dce8bc685bffe11e8e3f7a0ca95855d55e318
PRJ-AIR,PRJ-AIR-A07,Building Envelope,PRJ-AIR-WBS-07,TASK,36.0,28.096,36.0,48.325,CAL-5D,STRUCTURAL,LOC-01,False,PRJ-AIR-FC2,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,af621b0aff68dd64852c7aa811f4f1da66dd417ebc2070b235a0f53ec12d1b21
PRJ-AIR,PRJ-AIR-A08,MEP Rough-In,PRJ-AIR-WBS-08,TASK,47.9,36.703,47.9,58.076,CAL-5D,STRUCTURAL,LOC-02,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,adaa6654e6959f13111a28ed5e32ede7682ee853490d52caad4a9e63ffbc35c9
PRJ-AIR,PRJ-AIR-A09,Baggage Systems,PRJ-AIR-WBS-09,TASK,35.4,27.447,35.4,45.642,CAL-5D,MEP,LOC-03,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f14ca7981ca139edd862bc8fb059c92c31da0ebd46f366bc55d78c9b85f111b8
PRJ-AIR,PRJ-AIR-A10,Interior Fit-Out,PRJ-AIR-WBS-10,TASK,44.3,34.128,44.3,57.153,CAL-5D,MEP,LOC-04,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a7e0d68bf0b5998092749100397bc60deaf1152c89829f5abc8ca6ac8fddf204
