project_id,conflict_id,document_a_id,document_b_id,clause_a,clause_b,discipline,conflict_type,review_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-SC-01,SPEC-2,DRAW-2,2.1,D-2-001,CIVIL,MATERIAL,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0b4a827466fe32d7ad004358aa76c8abbc821f865d6fcbba19e0498e3e948f73
PRJ-AIR,PRJ-AIR-SC-02,SPEC-3,DRAW-3,3.2,D-3-002,MEP,SEQUENCE,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,02b49a3fb50324eb88e7a9701f2cdf963951ce3fc07d90c46ea8c03675e84bad
PRJ-AIR,PRJ-AIR-SC-03,SPEC-4,DRAW-4,4.3,D-4-003,STRUCT,RESPONSIBILITY,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2982ed1b0c16c203e579250339a280f686d465324b23ce7213870f49890b4eb4
PRJ-AIR,PRJ-AIR-SC-04,SPEC-5,DRAW-5,5.4,D-5-004,ARCH,DIMENSION,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d38ba3ec6a8434a0d5a24d05cb0ca44431da53d58767dc63f9930720f2cdd990
PRJ-AIR,PRJ-AIR-SC-05,SPEC-1,DRAW-6,6.5,D-6-005,CIVIL,MATERIAL,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a1530caefd08c6f1403fa52daf6285df38d7395192b1753e3ac3f50d023dfaa9
PRJ-AIR,PRJ-AIR-SC-06,SPEC-2,DRAW-7,7.6,D-1-006,MEP,SEQUENCE,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d80bb15b9e5dce4d951be6e595256ea6df730647d2fabac90511cc1c8879ae33
PRJ-AIR,PRJ-AIR-SC-07,SPEC-3,DRAW-1,8.7,D-2-007,STRUCT,RESPONSIBILITY,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,463ac41b4ca509309292f3ae02561ec96ea01a8106549fb0556bab2a7b2f3156
PRJ-AIR,PRJ-AIR-SC-08,SPEC-4,DRAW-2,1.8,D-3-008,ARCH,DIMENSION,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,20eb86753820e53fd3c907c594efd78fc621a83a66ac587ef1c4a31d809072a0
PRJ-AIR,PRJ-AIR-SC-09,SPEC-5,DRAW-3,2.9,D-4-009,CIVIL,MATERIAL,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c6e51965cacc82bbe1dcdf7b1e1c695e0b911fd8b589bfbc6f47b3790e8cf125
PRJ-AIR,PRJ-AIR-SC-10,SPEC-1,DRAW-4,3.1,D-5-010,MEP,SEQUENCE,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,10318b5eaa8954a2cbc766b44fc46b10b7d745a69af32f50f7164a3f13013410
