project_id,parameter_name,parameter_value,unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,error_rate,0.041,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,64778a0cd69f496d5c6b1ceced36f3f79bbc70f79fa56ad8a2548d6bee8dd930
PRJ-AIR,base_productivity,21.34,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6d22b6b3d1ff544b281d03d553bdc586f9e34e2546af177e6162474f85a48eae
PRJ-AIR,feedback_gain,0.019,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0479d0b16e3b80e57652e35fee4c204265b65ed6d31c7cfb1b89adee9a51ca35
PRJ-HWY,error_rate,0.0374,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e7f2f9cf72338409a059351aa8d9ccc9e017ffa9d7555a41190974f47d0df0f7
PRJ-HWY,base_productivity,21.736,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b7f484272505ed49d22eb2d1e60fcc798c843cf9bce815155c545cbcf29d9585
PRJ-HWY,feedback_gain,0.0166,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d6f406f420b06d9827d30c0a47770d3ba82676d5b3adfb286540c05c25840495
PRJ-HSP,error_rate,0.0428,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,32d7b966f0355cd589174c62cbf2ce31cbeccbdacd3464f2e976c034950fea2a
PRJ-HSP,base_productivity,21.142,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2da6b97da4b349d85030a2b8ed3f50b66ce7a483c604e56e4f09cf9f440a8f8e
PRJ-HSP,feedback_gain,0.0202,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c21aa7bffe8b6baa61a68991392ae1d2ebfa3475c4042f3907c35a6a0f1b257b
PRJ-WTR,error_rate,0.035,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7d7aa6613f4618d305436e99544db562da2a05ae911867da4bbc72b32e09a9c5
PRJ-WTR,base_productivity,22.0,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,393c401c19fa015640533908252ee01011388d6b220c190e36d8b70508902d81
PRJ-WTR,feedback_gain,0.015,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cacb75e741f7c3ebc67743bd9a8643e54eb4199c0598f98cec4c12924e3c7501
PRJ-RAL,error_rate,0.0398,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,703a903b6797278302f9f4cc29eca735213cb13c7d8469fb77cced47edfb24f6
PRJ-RAL,base_productivity,21.472,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e342535cd9df771e389607b9f75364037f8164acc88b724ed79bb35e9073e8a4
PRJ-RAL,feedback_gain,0.0182,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cbaddd44c4d41ae70f442ad23ab1b0ffb6b3f8b7777cdfa4e7e37099f5feb5a9
PRJ-DCT,error_rate,0.0356,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,06608b5427c030f4d277f144a1aca8944c1971dd7a440ead71138a8c2ea9530f
PRJ-DCT,base_productivity,21.934,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8309e546c4403521b8ed5e3bab96707ad03a0d2e84c27aad75b178dc10560518
PRJ-DCT,feedback_gain,0.0153999999999999,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a457ebf72ffd771801d057e80e838906632f84914f65bd4bc0d1d94badc635bb
