reference_project_id,known_anomaly_label,anomaly_reason,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,176a0df57236444c4d6fef39e24f86db94f0a128652ee2d05a38cfb677553ff9
REF-0002,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9ee93e6c07884c34e13e01ac881029d6ad04647f52d64285efc88fb3531152a8
REF-0003,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e2f974083568616b53817172433bf113c94a3c41fdd0ef53d3306fb84c483ece
REF-0004,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cbfeb8c5bb1a411a319480207dc090295c2bf8321fb69c64d504c68de7782f8e
REF-0005,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2d087775677ff7af5e9cb31a857b89a24330c5690b7415b4314719bcb929c528
REF-0006,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4e85fed8c0fa9e3166089c6ef90ff1bdd9188ffb300f7e28775c6bc9d70ebf58
REF-0007,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6679ee8ade029f2055158808c7f49fa66c19ed927b20af6e6cdecd3b0d61d6b7
REF-0008,True,INJECTED_EXTREME_OVERRUN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,62e836d81344825fa8b589623eace03adb09ff497329d37229412d260a3c49ef
REF-0009,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1b4b1eb219528fda152ad0a81e8cb2136a46ce43b88c64e403da0c53ffdc8bdd
REF-0010,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,caf794cb2a3cc318b8087164d83d5788117bc4c19dce6fe1964e025c9fc92fc7
REF-0011,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,420ae4f42766d55972f328d5f80f38412182aefadccd5bce133a43639572b44f
REF-0012,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9d82b4a58c09acd55a125428155c032ef55a49732b0949261283ad1fcecce28f
