reference_project_id,project_type,delivery_method,region,gross_area_m2,length_km,capacity_units,floors,complexity_index,design_completeness,location_factor,baseline_cost_usd,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,AIRPORT_TERMINAL,DESIGN_BID_BUILD,US-NORTHEAST,64223.272,0.0,89.45,2,0.416027,0.754427,1.18,220671195.49,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ac3bfc1661d305450e779f46fb9f3e9e249713e8ca58a1a7d161fff938e321b5
REF-0002,HIGHWAY_CORRIDOR,DESIGN_BID_BUILD,US-NORTHEAST,19949.337,18.723,46.952,6,0.48043,0.652273,1.18,195656317.53,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d9c860dbcd9f892cc8d590525235a6ad63cd88c37d5cd4c53986b33d5dc36953
REF-0003,VERTICAL_HOSPITAL,DESIGN_BID_BUILD,US-NORTHEAST,44906.862,1.587,116.6,11,0.411374,0.951176,1.18,248710215.14,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,653f8008c4363e9f93cd5042c7831f1d56a3c217b2dd8412e1fd14596ff53225
REF-0004,WATER_TREATMENT,DESIGN_BID_BUILD,US-NORTHEAST,24925.698,1.487,122.879,6,0.321805,0.668265,1.18,159804928.27,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5c8a375c95ae869221b6081e21a0c2cc717444ab86ec81ed761b314a7134fa2d
REF-0005,RAIL_STATION,DESIGN_BID_BUILD,US-NORTHEAST,16234.638,20.432,35.071,6,0.575846,0.91787,1.18,228158119.45,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,42a7380aa1e1219b4e41ddc343cc14101859411460b97b914961ad835b544d1a
REF-0006,DATA_CENTER,DESIGN_BID_BUILD,US-NORTHEAST,44556.752,0.0,151.955,6,0.443134,0.951609,1.18,191884929.22,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e93ffe5f62e5b9ba2f5f895fef3acc263a2e09201dd869ac3b3a1e53713eeedd
REF-0007,AIRPORT_TERMINAL,DESIGN_BUILD,US-NORTHEAST,18352.979,0.0,86.654,6,0.671891,0.91179,1.18,195491567.74,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7e4ded1c0a3df3ca7bb22ab5d4943237a00b120200a1360889350b2062e9eb38
REF-0008,HIGHWAY_CORRIDOR,DESIGN_BUILD,US-NORTHEAST,8187.743,13.496,52.752,4,0.302203,0.398651,1.18,125525059.63,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,25afa725344d423beba254fa88c689bc59c03cb5990d4106a4c6675816978042
REF-0009,VERTICAL_HOSPITAL,DESIGN_BUILD,US-NORTHEAST,49255.337,0.278,47.974,10,0.844661,0.35,1.18,264287739.0,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7684b58671fe38b8fddc998fc085ee6b54228a44cf0e85677d007f154ea8bf89
REF-0010,WATER_TREATMENT,DESIGN_BUILD,US-NORTHEAST,4698.112,8.602,124.82,3,0.747359,0.988626,1.18,170619770.5,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8a45a9cbbc457305edc0bcf8ea3c9e3ce62c866816b47f998c8f797439f7f6da
