reference_project_id,project_type,delivery_method,region,gross_area_m2,length_km,capacity_units,floors,complexity_index,design_completeness,location_factor,baseline_cost_usd,final_cost_usd,baseline_duration_days,final_duration_days,cost_overrun_pct,schedule_overrun_pct,outcome_class,known_anomaly_label,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,AIRPORT_TERMINAL,DESIGN_BID_BUILD,US-NORTHEAST,64223.272,0.0,89.45,2,0.416027,0.754427,1.18,220671195.49,269521859.71,618,744.019,0.221373,0.203914,RED,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e9329f3e2171aa5b6cf4e981893728841977642bf7f914c2f599c57b7659d65d
REF-0002,HIGHWAY_CORRIDOR,DESIGN_BID_BUILD,US-NORTHEAST,19949.337,18.723,46.952,6,0.48043,0.652273,1.18,195656317.53,247710186.22,536,623.235,0.266047,0.162751,RED,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,187322c24ac55712f3b4fd3b514acf8a8ae1ea0fd70b485f4dc89639ba29b537
REF-0003,VERTICAL_HOSPITAL,DESIGN_BID_BUILD,US-NORTHEAST,44906.862,1.587,116.6,11,0.411374,0.951176,1.18,248710215.14,273469374.73,631,750.956,0.09955,0.190104,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f13ef0aeb7ceb49caaa64e3a0787277465cb7755b5d05580a3d1a92cf2cba706
REF-0004,WATER_TREATMENT,DESIGN_BID_BUILD,US-NORTHEAST,24925.698,1.487,122.879,6,0.321805,0.668265,1.18,159804928.27,184665577.02,473,550.347,0.155569,0.163525,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3dc5ed7b78ca17183e03f757e1ce5418f5ec18d38962a86b9a0af774f1a790a0
REF-0005,RAIL_STATION,DESIGN_BID_BUILD,US-NORTHEAST,16234.638,20.432,35.071,6,0.575846,0.91787,1.18,228158119.45,254159770.27,565,645.224,0.113963,0.141989,AMBER,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,99f7c584d7d7b3f4799b39662fe435d1d0fd6c8559565f3436dedd081dc1db7e
REF-0006,DATA_CENTER,DESIGN_BID_BUILD,US-NORTHEAST,44556.752,0.0,151.955,6,0.443134,0.951609,1.18,191884929.22,204728503.89,591,626.576,0.066934,0.060196,GREEN,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,92079628d6318c8ba6f41f72b954869f1905ff145205728c26c0037ba6a2337e
REF-0007,AIRPORT_TERMINAL,DESIGN_BUILD,US-NORTHEAST,18352.979,0.0,86.654,6,0.671891,0.91179,1.18,195491567.74,227901902.59,505,634.881,0.165789,0.25719,RED,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,13db08eb3a84779ff9a1f01699b21447a28fbcf0c9b67691581c63d9a8050a0f
REF-0008,HIGHWAY_CORRIDOR,DESIGN_BUILD,US-NORTHEAST,8187.743,13.496,52.752,4,0.302203,0.398651,1.18,125525059.63,181297261.24,522,751.501,0.444311,0.439657,RED,True,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b342314d54bc6ab54c59479e664a6f9a0d8849bd72ce6da7f018907ad35ebd7b
REF-0009,VERTICAL_HOSPITAL,DESIGN_BUILD,US-NORTHEAST,49255.337,0.278,47.974,10,0.844661,0.35,1.18,264287739.0,347436203.81,662,848.442,0.314613,0.281635,RED,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,27615664b2e12ddb38734a3bd9a47da17d95ef9e975c0314f8dd14caad921f8e
REF-0010,WATER_TREATMENT,DESIGN_BUILD,US-NORTHEAST,4698.112,8.602,124.82,3,0.747359,0.988626,1.18,170619770.5,185164565.55,457,532.627,0.085247,0.165486,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a8470a24d6c953de623ae09a0a299355b3a5bf3f600fec5400c461b3c51791b7
