reference_project_id,split,split_unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6210e7ca739f2099917b0cb2e3acdd2b4e3d113c90d93cd3c54affaa8d720748
REF-0002,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8ec0948f75b380d7faca36061394740b547ee2163d11cf55ef4096fbab4c41c0
REF-0003,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4f51f7e04a20319eff0b784f892899b2bec2d4e57b8662c11acb4640bc6f2b23
REF-0004,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b4ccd299c309fd127e54d2702182dda2902376b6914c81901e515cbe88b0f39f
REF-0005,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2c54335b51524855f305f4675d08dc5bd2e9a1ee7ed33955e590b93e6293e723
REF-0006,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2126e6e7f87f026b957942a375679c8cce6cfaad0918e58981644fac9dd9f3b3
REF-0007,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,701809f07d7bb0df0cb1673495a0fda097b091b130246dcc22aaea324d9fe1b7
REF-0008,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2fee508a1241c8f329c2a776c97cf7a661f10b3b0ac1f9db677bfe254968d86c
REF-0009,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5978b6abbce762e552ac6480e292eb65e29914be21654505e751ddce99df82f2
REF-0010,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4e47415bf4c178e157ef4f3bcea0a24682a3feec5a703de2bc46747ae70116c0
REF-0011,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7a8f9c4e5a000009d3512b1af375973ded5effed007511750716d5eed0d9b2f9
REF-0012,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c857393fe87cf88da1e94a20b6bd4f9ddefb1c8e4d16886b07d62b8a305258f4
REF-0013,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0d0db2f654ef3a1cdd6b7ef587d5713175d2fb115698a6a7058a67560ac961bc
