decision_problem_id,action_id,action_name,base_direct_cost_usd,base_delay_effect_days,quality_risk_effect,safety_risk_effect,residual_risk_effect,crew_increment,overtime_fraction,requires_executive_authority,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8e261f4d59d603f93980ff19a04d0eac0aee4f0b47f00d41b97f9c748062dfd8
DP-01,DP-01-A1,ADD_CREW,1280000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,58948fc0481a60e43da2af2abb51cef4e185ca01b07e6756b3233a5c5bfe78cd
DP-01,DP-01-A2,OVERTIME,880000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f598c6d98f4088b9c2cedf5120c310a8978f3422277e0963153f73f2361c66b4
DP-01,DP-01-A3,EXPEDITE_PROCUREMENT,1120000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c689c5ff7308c0324b9ec7b86349b02915142b0759caa96a8e06749c7e9cb6c6
DP-01,DP-01-A4,RESEQUENCE_WORK,480000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2adc0615b9c6f3e69c0bbbaf79a9d42c4550a861fffe823c370d4559492f194b
DP-01,DP-01-A5,DEFER_NONCRITICAL_SCOPE,-320000.0,-3.0,0.12,0.02,-0.03,0,0.0,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ceaaba01a1255a9df10656e9a1c5d6e79419d349ba95923d4b033bc0928e290a
DP-02,DP-02-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d03c8b1bb39ce5d30c6fd2cae094541ef44d461eb1122bcf34c8a2e67b00e4d7
DP-02,DP-02-A1,ADD_CREW,1360000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ab2ed7ef3a298e331e1900fc082b14eb94831dab00675f578eaad20566c89d1e
DP-02,DP-02-A2,OVERTIME,935000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1d9b2e6609e6121ac9e248bf33681574a283936fdf2671c08ecddbb062365521
DP-02,DP-02-A3,EXPEDITE_PROCUREMENT,1190000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dd157da04cd3155c95ad0d748792da49258f0e994f1ea5785b2d14242eddc232
DP-02,DP-02-A4,RESEQUENCE_WORK,510000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9e39dc2d47141fd9696d691cdb3b2c6b0e99bb9a12166f6efc4a1243c5ac3cb1
DP-02,DP-02-A5,DEFER_NONCRITICAL_SCOPE,-340000.0,-3.0,0.12,0.02,-0.03,0,0.0,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f83b71a0d9d507aec5fcf3e8c3a6d2390f6d2d237254db88305a458774936283
DP-03,DP-03-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,06ac7b00ab65f88089ead848938c59d222a61eae705b5bbb59cd9664a7a9452e
DP-03,DP-03-A1,ADD_CREW,1440000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dd692a988f5bb3f06cb11fa4566eb4fe17eed39dcc7d74323c388a80ffa4e9ea
DP-03,DP-03-A2,OVERTIME,990000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b7bfc28e742dd385899bc36bfe02491003976499a0b09540a39ea66a235614cc
DP-03,DP-03-A3,EXPEDITE_PROCUREMENT,1260000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ea404b9e8523c2097d51f2ec7b177eb3e75ab7b8740bd42d0c8849e8a72ea5c6
DP-03,DP-03-A4,RESEQUENCE_WORK,540000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6c0466173600bd78f907545fd33c5a4cd106a1f6ef2d4ecf08ef22bece9fd282
DP-03,DP-03-A5,DEFER_NONCRITICAL_SCOPE,-360000.0,-3.0,0.12,0.02,-0.03,0,0.0,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eb53dd8119e58efa5191d6cf6b847635c5c9dcadd1770a922db52315928d4499
DP-04,DP-04-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a19c591060ea7a194d402e7d79bf612455af047bb6189859b26abfa8911d0dcd
DP-04,DP-04-A1,ADD_CREW,1520000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e3e591af64b3e23850bcfb00379153a95c7a9ed34dd690e4dd50066ab0cfc2a6
DP-04,DP-04-A2,OVERTIME,1045000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ea58384f6101935c580e1df7300b5e562c1a8c653be615500ab07a5bddbe224c
DP-04,DP-04-A3,EXPEDITE_PROCUREMENT,1330000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c9345a7c6241dcfe1eac27043b5143d3ff9de75e2265ab34d2d142f5dedbfcb9
DP-04,DP-04-A4,RESEQUENCE_WORK,570000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,080fbc84f37131448d467df20829a78f15a1789a5cd6792750ec3c0dcd3f16d6
DP-04,DP-04-A5,DEFER_NONCRITICAL_SCOPE,-380000.0,-3.0,0.12,0.02,-0.03,0,0.0,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b9bbb584f154f17c6cba7cb5c464bfe25a23f75bc279dea1c7e492a3235b97f2
DP-05,DP-05-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,35606288a1fe0086e5164da690742e2a2f9918aa84257398f4e3777dd4e4031d
DP-05,DP-05-A1,ADD_CREW,1600000.0,-10.0,0.05,0.08,-0.08,2,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2f3e08fe375f9b739ef3ab871e82086bde2a59ac75a66d16fbd39ec7fec6b149
DP-05,DP-05-A2,OVERTIME,1100000.0,-7.0,0.1,0.15,-0.04,0,0.15,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,67451656f337cd97a8544589707d92963e5069113dacb50831a02a8b1fd0df6d
DP-05,DP-05-A3,EXPEDITE_PROCUREMENT,1400000.0,-9.0,0.02,0.03,-0.1,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,49457d35d2c360d95d4025b09f73990b28167348d6e147c23841b89d3f31441e
DP-05,DP-05-A4,RESEQUENCE_WORK,600000.0,-6.0,0.08,0.05,-0.06,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,01e94d7e3ff520fb3a113641d650547563fd954ea6e11504717b41aa9d91a1d9
DP-05,DP-05-A5,DEFER_NONCRITICAL_SCOPE,-400000.0,-3.0,0.12,0.02,-0.03,0,0.0,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,269ce759c93ce6b24e1ccf2a7e1062546b5102942d85eb27b3604fedcb48cc7c
DP-06,DP-06-A0,MAINTAIN_PLAN,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e916af7a669af7ab92e27a3872e4cca5312a372374a2318977bdf0e5b8a890cf
