decision_problem_id,constraint_id,constraint_type,expression,right_hand_side,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-C1,BUDGET,total_action_cost <= budget_cap_usd,9625000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8cf01d678746870ea165c34c8eb0b4877d6bc9606d586c21842e53a248d7b6ac
DP-01,DP-01-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5411eae29d727fdbff29850069fa2eae19ebdc9659d5d67d027c037272fbb41a
DP-01,DP-01-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d90b848a9a22e377e4bafac7a1aa00e650b73d34f1ff0acc5fa73464c772e38a
DP-02,DP-02-C1,BUDGET,total_action_cost <= budget_cap_usd,5250000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4dad52d6ffe5fb935db2657eef45e3df3be733ef4ebe3beebad488e31bbb3673
DP-02,DP-02-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9a89b05ddcc08a8142863a0de43f32f3bb2a4b722364298bbcb7c20f04980f94
DP-02,DP-02-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6424cabe38325eb0c896b24f64f4aa8eb4489c6bf325766a05d7272a0241b17a
DP-03,DP-03-C1,BUDGET,total_action_cost <= budget_cap_usd,11500000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0d18b876b8005f5689337bc6eee0a263b24dce9435fc9aa96fc0a76916acb5f8
DP-03,DP-03-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c98afd5734666e1ccf97c7f597fceb65d045d39c64cd35851913dc43d537f591
DP-03,DP-03-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f76d54e85e32b6b763c23b9ca98d482ec4070a34c6f941485befb62820e53776
DP-04,DP-04-C1,BUDGET,total_action_cost <= budget_cap_usd,4375000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,093c2b248ac3e48e2d64cc26b34c05467561eb6e9ed06f512bde64aef5889e3a
DP-04,DP-04-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0979b2857fa01641dca0c74cf8e5f16be615b66cf2ade457eaa3c73d0865494f
DP-04,DP-04-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,84076a9b3dc9f44f79b0d106f44c26e096015718766dc5297ccb316dec2e71d7
DP-05,DP-05-C1,BUDGET,total_action_cost <= budget_cap_usd,7250000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d8f2c380ac86d42d9187c43e0078ee0be7d1769be8197d3d78b0a5f02fbd4057
DP-05,DP-05-C2,CREW,crew_increment <= crew_capacity_increment,3.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fc0b0e4b3a15543ce90e576781868c87c1909129d433128f6868253c5a3f34a7
DP-05,DP-05-C3,OVERTIME,overtime_fraction <= max_overtime_fraction,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9d565159292cc50e7079a8ad73c67814f6ee5e1b7ae7beb5f567f9bfc75dd2f6
