decision_problem_id,scenario_id,scenario_name,scenario_probability,delay_shock_days,quality_shock,safety_shock,risk_shock,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b8ede09b6a4ca9e164d2de5aedd866430ee8c4fefb6cb82e569728841f36a890
DP-01,DP-01-S1,PRODUCTIVITY_DROP,0.2,11.2,0.048,0.032,0.096,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ca56eaeaef3a5793f7b7d797cb5616471f53f5a6df8ee123166312197a737985
DP-01,DP-01-S2,SUPPLY_DISRUPTION,0.2,14.4,0.024,0.016,0.144,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,12d46239fbecdd00b5b62365ade1334d628be8720cbb6c2e120cced0c58b39ce
DP-01,DP-01-S3,WEATHER_DELAY,0.15,9.6,0.016,0.04,0.08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,db92106dbb6f77d82a2ae5acdb83b90df8c7e970dce4242a46f90e6c4bde4729
DP-01,DP-01-S4,COMBINED_STRESS,0.1,22.4,0.072,0.064,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2da114394be8164400983dd930a18cf85b45561e33da97aa91bb579de4524cdd
DP-02,DP-02-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,106082df624c1df077cc83cddcc729c582debbfb1f796ccdd973ace0eb77f78a
DP-02,DP-02-S1,PRODUCTIVITY_DROP,0.2,11.9,0.051,0.034,0.102,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,64994efdf941d6f66a5c4a56653f053fa403c14828abaddd3d76ff66c9e27ef5
DP-02,DP-02-S2,SUPPLY_DISRUPTION,0.2,15.3,0.0255,0.017,0.153,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e61cca50b182df6856fd980468d16d3aae2941240d189451211a771e93484e45
DP-02,DP-02-S3,WEATHER_DELAY,0.15,10.2,0.017,0.0425,0.085,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,53c07cdcf09f14c0f48f3bf17d6e97503d15e93c992adffc2aa9902ee70ad4f3
DP-02,DP-02-S4,COMBINED_STRESS,0.1,23.8,0.0765,0.068,0.2125,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b9c3da1707d950b718b2ef72f17fe368d6f4c83500a00a983e9396717f608e2b
