combination_id,cost_level,delivery_speed,quality_level,carbon_level,alternative_id,membership_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
HSC-001,LOW,FAST,HIGH,LOW,PLAN_A,0.94,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,99f2475ece5d9e790d35f79fed6bf4015f34e1d0a64c1a1deabaf954acbf61eb
HSC-001,LOW,FAST,HIGH,LOW,PLAN_B,0.97,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,05ed440907c964d440a1fa9cc25100fa9a672c930a93c465720a08ee7a55723e
HSC-001,LOW,FAST,HIGH,LOW,PLAN_C,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,475cff085e32833262329c3ece3bf4f9178920a54307249cf31758d84aace33b
HSC-001,LOW,FAST,HIGH,LOW,PLAN_D,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,04d78ddb59144ddd1b63841f70cad743abd4fe5e511bc3d59bb9dcf11f96ddc5
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_A,0.86,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,99924f91081b49c062fa37bce2ee2e954b05bc84a3fc0e20ddf99b1099fc3271
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_B,0.89,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2e1b53555fbed598f780327bfb916e5c9b4fcce3701234f37cdcdede2f65ee76
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_C,0.92,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,06b4f3178c3fc0dc91e7136d184ef34b5cb7f5f03ef4e5aeeaeb8b8565aeb666
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_D,0.95,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ae4ffae9dc13c2ca64d5482987ace5a6f67eda0580da3f028934e20c2a8048ae
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_A,0.82,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,21b3477b33b3d85bd422c9aba48d9fc72da4bb7618d63bac74e2dd377121b4b4
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_B,0.85,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0f09ac7f6bee494d0e194089d2e4829e96fafcebab98e5062d7f52e049ac51b5
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_C,0.88,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3848f0155374a077130408e2d1888ee0ab392b6809f86b91c65094233811a8dd
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_D,0.91,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e2d956b7cb2c56cbad2048e877bb7dc4b88444a3a7b1236372e940c501392c5a
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_A,0.74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1181abba6c0a2da66ae6d7691191b5026174b97d943c963155dfaa906cf16cfc
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_B,0.77,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b53213a4cde0ebbc7eb100a39597713989daafe34b8ee712855d069847b5fcc3
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_C,0.8,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,33072d596980c962bddfdf36e591acce0462808f60ec7631dd455501e0a00b6d
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_D,0.83,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,043822209068c33b0c5077af2a077c624f3c63dd8c69ed3b42320542733d5ea9
HSC-005,LOW,NORMAL,HIGH,LOW,PLAN_A,0.84,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2c092d630d944349f0f6d75effc6b79e7d6bda7b6ceb31699b80d0a2c6cd2c9c
HSC-005,LOW,NORMAL,HIGH,LOW,PLAN_B,0.87,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2295fe4f9ac3bcf9d79858da4b0ed33f66448593b6c229af2857c61d3f146a2c
HSC-005,LOW,NORMAL,HIGH,LOW,PLAN_C,0.9,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e5f41777391a735e0647bf079d84ec25ee10caccc978e3964c58543c6e8bb7cd
HSC-005,LOW,NORMAL,HIGH,LOW,PLAN_D,0.93,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d1961b2a013eec118af0f7755bf2d26026053114c882326390be55051f9b9d3f
HSC-006,LOW,NORMAL,HIGH,HIGH,PLAN_A,0.76,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8c79702f597f4f7a19842085e6cbd14063b0b4ee558d9a50444739c378ccf8ff
