alternative_id,attribute,attribute_value,appurtenance_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
SUPPLIER_A,COST,LOW,0.898189,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a1e50983b3d952c1977ea49faeb0664efc215ec98747c6c8b5de086e4b2bd5e7
SUPPLIER_A,COST,MEDIUM,0.453714,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d8c7e0f1a1200610f80ba9de05c4ef9d65f68eb9830ac81e229cd05560c6c308
SUPPLIER_A,COST,HIGH,0.218035,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,187e3889c93516a73f0339c18d5daf38db85884a7a0c107c3e025d7010e97033
SUPPLIER_A,SCHEDULE,FAST,0.905212,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,17e361ca374cc6d2898a0a8cdd0d3f8cfcf6bcc1245a16c24d0d62ec5eecd2f2
SUPPLIER_A,SCHEDULE,NORMAL,0.527882,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4bf618119d2ecf32434e100e76c048c5a7527b5550d8dd24f3472a4fb5c07daf
SUPPLIER_A,SCHEDULE,SLOW,0.186316,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d5f5a4aced9177b1e96fda8842602855c9d1e2759bad980f7167134fcad00531
SUPPLIER_A,QUALITY,HIGH,0.881236,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3f93d092952b7dbc7a143f676920e3f93408504581ca1ab4a77db801e18741da
SUPPLIER_A,QUALITY,MEDIUM,0.503819,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1e68c46564985dd41b33a8b54680330491b565f0b773354fb5185ba632294209
SUPPLIER_A,QUALITY,LOW,0.130951,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eb5568ce23f68df23283b850b5ba385012fd868cbcc33f8f6202ab779c0980cd
SUPPLIER_A,RISK,LOW,0.855966,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9ec95dfd93838768047e4afba5241e816a4d5971f8ed9a21082d0a6a156ab15c
SUPPLIER_A,RISK,MEDIUM,0.393174,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1d56e42231364f095ad0d079397cf88e66a10526be74a49b9920047234d5e09e
SUPPLIER_A,RISK,HIGH,0.100008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aee3e99514839cc327f87ba440d6fd004b24e19cc666f680e12767825e0394ae
SUPPLIER_B,COST,LOW,0.557406,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,549a503b6a7e7b172bd41d24c0067305d54193aaf0921be1cdb668b890533e61
SUPPLIER_B,COST,MEDIUM,0.11722,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c4b4f3c8d6424fb631f55b892de4a090f007bb130b43bc024ab2738b6692dc05
SUPPLIER_B,COST,HIGH,0.842784,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,41fc5b49b49015cdec13de3000c16fa99c4e374e522dc9b2402a55ff9c2d45a9
SUPPLIER_B,SCHEDULE,FAST,0.539542,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ff69f75bada0418fd9e7f9c62f8ed2b0b3203445a31dc9ee18c1f2b37c539676
SUPPLIER_B,SCHEDULE,NORMAL,0.112175,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c92cd1fa5d939ee233e6ce58e4c9191076011ffb84c74c8e343a5ff34e23f64b
