attribute,value_a,value_b,contradiction_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
COST,LOW,LOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,409c97c0f2c98ad91b6811b7a5676cf222bb26dd3213eae699980cbfa50f775f
COST,LOW,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,72d19e97bd835b04ec397d8990f68fd750d44a7b007ffd11c24b7635a1931604
COST,LOW,HIGH,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6f3464dcb073d9d5d569233351c0ddf1e48cc10db97cc3c35f644d5a3da2a8d4
COST,MEDIUM,LOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e123b65dfd95cb60e41825c4a20436f0037c6bfe228d209a5d074a113a6397af
COST,MEDIUM,MEDIUM,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,48daab9bd522d3ba46d4c57a8be0578c8e3a7344174d675762cf8cc27766aca6
COST,MEDIUM,HIGH,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a287c6ace24aa91eadb07fc7f9657ed964299ef9608e4cd9817d6e4b0ac0c84b
COST,HIGH,LOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8fcc8b53aa8c740c68adb0e3700b04fae8ed26681a6224470289fa7e9e1c19df
COST,HIGH,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,47ee226b9601bb12c68cd263698bd03512563bc584a93879cd5c791a3347edee
COST,HIGH,HIGH,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,17ee718fb0b4b9d5678885e33b83bc5158b80dfdc1ed38270236803f3e1a9a72
SCHEDULE,FAST,FAST,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,09eb007c6301d5ddf8be007603c9ca11a8e801ae3410c13073a80f3c659db324
SCHEDULE,FAST,NORMAL,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,565812ac79135f634576732f6f1d1bcc652f326f42b23ee23ffd56fffaa8756c
SCHEDULE,FAST,SLOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c9f000ee870831af76de5f9364c84fcf9b6163f193e1657ab9c368aaaccda1b6
SCHEDULE,NORMAL,FAST,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1eb7b6d23dbb2de0346ceb05780984ebf8e29d840f27bd9bd671b079aa546b0d
SCHEDULE,NORMAL,NORMAL,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,602dab2194aae722fb6d7fcea18ff93f80162ee123377deb8990e5175f505366
SCHEDULE,NORMAL,SLOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fef2ecfe780e57e433d6a0f432cd3fe39b76a18ab6740f4296bedf1ff8ba7ebf
SCHEDULE,SLOW,FAST,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,795fb5827b6a43f5b1e9d94b4c9ef338f8c77c687efb9d48efc6b8e52c54ac6e
SCHEDULE,SLOW,NORMAL,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,138647699db36b6d40703bd825180507d4404fe41fbbb35584a3ac3fb7cb0527
