path,kind,reason,last_run_referenced,exit_code,first_error
server/tools/apply_run20_dispositions.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,20,0,
server/tools/bootstrap_admin.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,,2,bootstrap_admin.py: error: the following arguments are required: --google-email
server/tools/build_client_taxonomy.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,,0,
server/tools/build_run13_evidence.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,13,1,ImportError: cannot import name 'portfolio' from 'app.simulation' (/home/user/LinPRojectRadar/.claude/worktrees/agent-af3ef56c9dde2a90e/server/app/simulation/__init__.py)
server/tools/build_run13_inventory.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,13,1,ModuleNotFoundError: No module named 'app.simulation.portfolio'
server/tools/build_run13_mutation_proof.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,13,1,ImportError: cannot import name 'portfolio' from 'app.simulation' (/home/user/LinPRojectRadar/.claude/worktrees/agent-af3ef56c9dde2a90e/server/app/simulation/__init__.py)
server/tools/build_run20_register.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,20,0,
server/tools/build_run22_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,22,0,
server/tools/build_run23_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,23,0,
server/tools/build_run24_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,24,0,
server/tools/build_run25_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,25,0,
server/tools/build_run26_authoritative_edges.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,26,0,
server/tools/build_run26_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,26,0,
server/tools/build_run27_remediation_matrix.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,27,1,KeyError: 'A1.1'
server/tools/build_run27_report.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,27,0,
server/tools/build_run28_closure_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,28,0,
server/tools/build_run28_closure_tables.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,28,1,FileNotFoundError: [Errno 2] No such file or directory: '/home/user/LinPRojectRadar/.claude/worktrees/agent-af3ef56c9dde2a90e/server/app/__pycache__'
server/tools/build_run28_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,28,0,
server/tools/build_run28_scope.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,28,1,KeyError: 'A3.4'
server/tools/build_run29_closure_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,29,0,
server/tools/build_run29_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,29,0,
server/tools/build_run30_artifacts.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,30,0,
server/tools/build_run30_closure_artifacts.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,30,1,ModuleNotFoundError: No module named 'app.simulation.models_evc'
server/tools/build_run30_closure_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,30,0,
server/tools/build_run30_final_closure_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,30,0,
server/tools/build_run30_freeze.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,30,0,
server/tools/build_run30_lineage_artifacts.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,30,1,oldsim30f.registry.MissingModuleError: A1.1 is not in the module registry
server/tools/build_run31_final_closure.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,31,0,
server/tools/build_run31_pass1_artifacts.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,31,0,
server/tools/build_run31_pass2_artifacts.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,31,1,KeyError: 'B3.1'
server/tools/build_run31_scope_and_inventory.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,31,0,
server/tools/build_run31_suite_reconciliation.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,31,0,
server/tools/build_run31_synthetic_scope.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,31,124,
server/tools/build_run32_artifacts.py,migration,rule1 one-time run-scoped builder/seeder/exporter by name,32,1,KeyError: 'B4.1'
