module_id,module_name,category,basis_class,operational_activation,voting_status,primary_method_source,canonical_structure_required,canonical_structure_present,implementation_verified,known_answer_pass,boundary_pass,missingness_pass,invariant_pass,stochastic_diagnostics_pass,reproducibility_pass,parameter_provenance_status,calibration_status,threshold_status,empirical_validation_status,regulatory_snapshot,cat9_qualification_status,lineage_status,scientific_disposition,production_change_made,finding_summary,required_next_action,test_names,evidence_paths
1.1,Monte Carlo EAC,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.2,CUSUM Anomaly Monitor,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.3,Bayesian EAC,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.4,Kalman Filter SPI Smoother,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.5,ARIMA CPI Forecast,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.6,Earned Schedule,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.7,TCPI,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.8,Variance at Completion,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.9,Budget Execution Rate,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.10,Regression to Mean CPI,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
1.11,ICE Ratio,1,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
2.1,PERT Network Criticality,2,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
2.2,Line of Balance,2,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
2.3,CCPM Buffer Health,2,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
2.4,Schedule Compression Index,2,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
2.5,Float Consumption Rate,2,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
2.6,S-Curve Deviation,2,NOT_ASSESSED,,,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED,n/a,NOT_ASSESSED,NOT_ASSESSED,NOT_REACHED_IN_THIS_RUN,no,"Not reached in Run 17. No scientific determination of any kind is made for this module by this run, and no prior run's determination is carried forward into this row as though Run 17 had confirmed it.",Execute the Run-17 protocol for this module in the follow-up run.,none,none
